corridor,direction,baseline,metric,value,horizon
E2,aggregate,B0,MAE,5.287081401929769,1
E2,+1,B0,MAE,4.49110846364554,1
E2,-1,B0,MAE,6.162476933253725,1
E2,aggregate,B0,MAE,5.287081401929769,3
E2,-1,B0,MAE,6.162476933253725,3
E2,+1,B0,MAE,4.49110846364554,3
E2,+1,B0,MAE,4.49110846364554,5
E2,-1,B0,MAE,6.162476933253725,5
E2,aggregate,B0,MAE,5.287081401929769,5
E2,+1,B0,MAE,4.49110846364554,10
E2,aggregate,B0,MAE,5.287081401929769,10
E2,-1,B0,MAE,6.162476933253725,10
E2,-1,B1,MAE,5.418362358800753,1
E2,+1,B1,MAE,4.155146990793513,1
E2,aggregate,B1,MAE,4.7567409938168135,1
E2,aggregate,B1,MAE,6.074507554131766,3
E2,-1,B1,MAE,6.906572897003521,3
E2,+1,B1,MAE,5.317933557451162,3
E2,aggregate,B1,MAE,6.492580002526008,5
E2,+1,B1,MAE,5.68124374688147,5
E2,-1,B1,MAE,7.384871810992899,5
E2,aggregate,B1,MAE,7.025542141839601,10
E2,+1,B1,MAE,6.128419094371093,10
E2,-1,B1,MAE,8.012180592757927,10
E2,-1,B2_w10,MAE,5.971211344020902,1
E2,aggregate,B2_w10,MAE,5.213554620264322,1
E2,+1,B2_w10,MAE,4.524638322385542,1
E2,+1,B2_w10,MAE,4.7764247112451415,3
E2,aggregate,B2_w10,MAE,5.524794723288337,3
E2,-1,B2_w10,MAE,6.347837483676174,3
E2,-1,B2_w10,MAE,6.5324317081859045,5
E2,+1,B2_w10,MAE,4.882184132006774,5
E2,aggregate,B2_w10,MAE,5.668098450718113,5
E2,-1,B2_w10,MAE,6.798592595382906,10
E2,aggregate,B2_w10,MAE,5.855598115117476,10
E2,+1,B2_w10,MAE,4.998159322726715,10
E2,-1,B2_w15,MAE,6.097825131489288,1
E2,aggregate,B2_w15,MAE,5.289364775082129,1
E2,+1,B2_w15,MAE,4.554254139547509,1
E2,aggregate,B2_w15,MAE,5.505105060293643,3
E2,+1,B2_w15,MAE,4.723686366677555,3
E2,-1,B2_w15,MAE,6.364494116860117,3
E2,+1,B2_w15,MAE,4.795223597779751,5
E2,-1,B2_w15,MAE,6.500152025012227,5
E2,aggregate,B2_w15,MAE,5.607179138682517,5
E2,aggregate,B2_w15,MAE,5.7324465526086215,10
E2,+1,B2_w15,MAE,4.875688495508412,10
E2,-1,B2_w15,MAE,6.674692373462779,10
E2,-1,B2_w5,MAE,5.7209893758768,1
E2,+1,B2_w5,MAE,4.401185987258491,1
E2,aggregate,B2_w5,MAE,5.029729483380726,1
E2,+1,B2_w5,MAE,4.859505268570558,3
E2,aggregate,B2_w5,MAE,5.562972493788154,3
E2,-1,B2_w5,MAE,6.336632043968049,3
E2,+1,B2_w5,MAE,5.042216566823364,5
E2,aggregate,B2_w5,MAE,5.7931227283800775,5
E2,-1,B2_w5,MAE,6.618954696596624,5
E2,aggregate,B2_w5,MAE,6.095361740011859,10
E2,+1,B2_w5,MAE,5.2580755547247255,10
E2,-1,B2_w5,MAE,7.0161927755739155,10
E2,-1,B3,MAE,5.455228764038092,1
E2,+1,B3,MAE,4.160881143152752,1
E2,aggregate,B3,MAE,4.777301578078647,1
E2,aggregate,B3,MAE,5.358634992841869,3
E2,-1,B3,MAE,6.121108806770118,3
E2,+1,B3,MAE,4.6653386481377135,3
E2,aggregate,B3,MAE,5.606426784363495,5
E2,+1,B3,MAE,4.871710482426908,5
E2,-1,B3,MAE,6.414453460361476,5
E2,-1,B3,MAE,6.848358134390702,10
E2,+1,B3,MAE,5.124904307116729,10
E2,aggregate,B3,MAE,5.945682389171883,10
E2,-1,B4_HA,MAE,6.130748793100816,1
E2,aggregate,B4_HA,MAE,5.258843748586213,1
E2,+1,B4_HA,MAE,4.466022789727812,1
E2,-1,B4_HA,MAE,6.130748793100816,3
E2,+1,B4_HA,MAE,4.466022789727812,3
E2,aggregate,B4_HA,MAE,5.258843748586213,3
E2,+1,B4_HA,MAE,4.466022789727812,5
E2,aggregate,B4_HA,MAE,5.258843748586213,5
E2,-1,B4_HA,MAE,6.130748793100816,5
E2,-1,B4_HA,MAE,6.130748793100816,10
E2,+1,B4_HA,MAE,4.466022789727812,10
E2,aggregate,B4_HA,MAE,5.258843748586213,10
E2,+1,B5_XGB,MAE,3.9189781648700825,1
E2,-1,B5_XGB,MAE,5.225629609116856,1
E2,aggregate,B5_XGB,MAE,4.541258175713086,1
E2,-1,B5_XGB,MAE,5.784697374661566,3
E2,aggregate,B5_XGB,MAE,5.018226581899939,3
E2,+1,B5_XGB,MAE,4.321295894921439,3
E2,aggregate,B5_XGB,MAE,5.141464676377015,5
E2,+1,B5_XGB,MAE,4.405873078203352,5
E2,-1,B5_XGB,MAE,5.950453986125048,5
E2,-1,B5_XGB,MAE,6.096842563511068,10
E2,+1,B5_XGB,MAE,4.457885402551159,10
E2,aggregate,B5_XGB,MAE,5.238422771092677,10
E2,+1,LSTM,MAE,3.7971266955473775,1
E2,aggregate,LSTM,MAE,4.463865647406177,1
E2,-1,LSTM,MAE,5.358884917231626,1
