corridor,direction,baseline,metric,value,horizon
E4,-1,B0,MAE,6.247413945396256,1
E4,-1,B0,RMSE,7.522024385674887,1
E4,+1,B0,MAE,5.089077525483829,1
E4,+1,B0,RMSE,6.4110691110939735,1
E4,aggregate,B0,MAE,5.7718160663689915,1
E4,aggregate,B0,RMSE,7.086985021368294,1
E4,-1,B1,MAE,3.8021709806538455,1
E4,-1,B1,RMSE,6.974406143351352,1
E4,+1,B1,MAE,2.164182308187154,1
E4,+1,B1,RMSE,4.715095735912565,1
E4,aggregate,B1,MAE,3.1296341208055303,1
E4,aggregate,B1,RMSE,6.148060730514267,1
E4,-1,B2_w5,MAE,4.80595003276795,1
E4,-1,B2_w5,RMSE,6.818478970905875,1
E4,+1,B2_w5,MAE,3.292581498834363,1
E4,+1,B2_w5,RMSE,5.258078257229322,1
E4,aggregate,B2_w5,MAE,4.184580582103669,1
E4,aggregate,B2_w5,RMSE,6.2253067188542595,1
E4,-1,B2_w10,MAE,5.44555024589876,1
E4,-1,B2_w10,RMSE,7.195898403869026,1
E4,+1,B2_w10,MAE,4.055042152191614,1
E4,+1,B2_w10,RMSE,5.824119230561545,1
E4,aggregate,B2_w10,MAE,4.874625695164732,1
E4,aggregate,B2_w10,RMSE,6.666905438041226,1
E4,-1,B2_w15,MAE,5.778112182425778,1
E4,-1,B2_w15,RMSE,7.406095557908867,1
E4,+1,B2_w15,MAE,4.449586556415529,1
E4,+1,B2_w15,RMSE,6.087617918154212,1
E4,aggregate,B2_w15,MAE,5.232636827337131,1
E4,aggregate,B2_w15,RMSE,6.895319612399049,1
E4,-1,B3,MAE,4.509804389032322,1
E4,-1,B3,RMSE,6.4303081273492,1
E4,+1,B3,MAE,3.0508065691820043,1
E4,+1,B3,RMSE,4.864523602587724,1
E4,aggregate,B3,MAE,3.9107588469102197,1
E4,aggregate,B3,RMSE,5.838451805534515,1
E4,-1,B4_HA,MAE,6.2310906937350765,1
E4,-1,B4_HA,RMSE,7.515239630476031,1
E4,+1,B4_HA,MAE,5.048905222569223,1
E4,+1,B4_HA,RMSE,6.354703645399465,1
E4,aggregate,B4_HA,MAE,5.745762253174294,1
E4,aggregate,B4_HA,RMSE,7.061913552416089,1
E4,-1,B5_XGB,MAE,3.974595461138264,1
E4,-1,B5_XGB,RMSE,5.904150444793672,1
E4,+1,B5_XGB,MAE,2.3982663186926,1
E4,+1,B5_XGB,RMSE,4.247633164906497,1
E4,aggregate,B5_XGB,MAE,3.327375202922862,1
E4,aggregate,B5_XGB,RMSE,5.28718384779004,1
E4,-1,B0,MAE,6.247413945396256,3
E4,-1,B0,RMSE,7.522024385674887,3
E4,+1,B0,MAE,5.089077525483829,3
E4,+1,B0,RMSE,6.4110691110939735,3
E4,aggregate,B0,MAE,5.7718160663689915,3
E4,aggregate,B0,RMSE,7.086985021368294,3
E4,-1,B1,MAE,5.513159493877984,3
E4,-1,B1,RMSE,8.383260596053555,3
E4,+1,B1,MAE,3.73444398589322,3
E4,+1,B1,RMSE,6.360301246853661,3
E4,aggregate,B1,MAE,4.782842024403603,3
E4,aggregate,B1,RMSE,7.617942223502339,3
E4,-1,B2_w5,MAE,5.768538012664604,3
E4,-1,B2_w5,RMSE,7.8175247752800425,3
E4,+1,B2_w5,MAE,4.287909597345132,3
E4,+1,B2_w5,RMSE,6.3968770787746045,3
E4,aggregate,B2_w5,MAE,5.1606112291774044,3
E4,aggregate,B2_w5,RMSE,7.2679048152357355,3
E4,-1,B2_w10,MAE,6.05653934387144,3
E4,-1,B2_w10,RMSE,7.842854978351096,3
E4,+1,B2_w10,MAE,4.700940014970483,3
E4,+1,B2_w10,RMSE,6.5496424413902234,3
E4,aggregate,B2_w10,MAE,5.499947878254896,3
E4,aggregate,B2_w10,RMSE,7.339502691864507,3
E4,-1,B2_w15,MAE,6.207352890031946,3
E4,-1,B2_w15,RMSE,7.8731305962129365,3
E4,+1,B2_w15,MAE,4.9083155900773745,3
E4,+1,B2_w15,RMSE,6.605710432588359,3
E4,aggregate,B2_w15,MAE,5.673985058359687,3
E4,aggregate,B2_w15,RMSE,7.379132445582889,3
E4,-1,B3,MAE,5.4419884338575475,3
E4,-1,B3,RMSE,7.433835783225222,3
E4,+1,B3,MAE,4.016843854997355,3
E4,+1,B3,RMSE,6.015302422542246,3
E4,aggregate,B3,MAE,4.856842592492779,3
E4,aggregate,B3,RMSE,6.886850846435453,3
E4,-1,B4_HA,MAE,6.2310906937350765,3
E4,-1,B4_HA,RMSE,7.515239630476031,3
E4,+1,B4_HA,MAE,5.048905222569223,3
E4,+1,B4_HA,RMSE,6.354703645399465,3
E4,aggregate,B4_HA,MAE,5.745762253174294,3
E4,aggregate,B4_HA,RMSE,7.061913552416089,3
E4,-1,B5_XGB,MAE,5.046413734873952,3
E4,-1,B5_XGB,RMSE,6.702399361700252,3
E4,+1,B5_XGB,MAE,3.6285789584706567,3
E4,+1,B5_XGB,RMSE,5.315944356036267,3
E4,aggregate,B5_XGB,MAE,4.464269203391912,3
E4,aggregate,B5_XGB,RMSE,6.170947251920236,3
E4,-1,B0,MAE,6.247413945396256,5
E4,-1,B0,RMSE,7.522024385674887,5
E4,+1,B0,MAE,5.089077525483829,5
E4,+1,B0,RMSE,6.4110691110939735,5
E4,aggregate,B0,MAE,5.7718160663689915,5
E4,aggregate,B0,RMSE,7.086985021368294,5
E4,-1,B1,MAE,6.472805535334766,5
E4,-1,B1,RMSE,9.14078042447636,5
E4,+1,B1,MAE,4.687429212219698,5
E4,+1,B1,RMSE,7.270728138995176,5
E4,aggregate,B1,MAE,5.739753221739015,5
E4,aggregate,B1,RMSE,8.423348265172438,5
E4,-1,B2_w5,MAE,6.334991292314724,5
E4,-1,B2_w5,RMSE,8.361851822557865,5
E4,+1,B2_w5,MAE,4.935004669636314,5
E4,+1,B2_w5,RMSE,7.048780753330628,5
E4,aggregate,B2_w5,MAE,5.760174980778276,5
E4,aggregate,B2_w5,RMSE,7.849346015601591,5
E4,-1,B2_w10,MAE,6.430091407382183,5
E4,-1,B2_w10,RMSE,8.218524619278774,5
E4,+1,B2_w10,MAE,5.127785762434786,5
E4,+1,B2_w10,RMSE,6.9870878161124335,5
E4,aggregate,B2_w10,MAE,5.895381635734805,5
E4,aggregate,B2_w10,RMSE,7.73666644101648,5
E4,-1,B2_w15,MAE,6.470772699770278,5
E4,-1,B2_w15,RMSE,8.147097435710743,5
E4,+1,B2_w15,MAE,5.2145017117694055,5
E4,+1,B2_w15,RMSE,6.927894922686129,5
E4,aggregate,B2_w15,MAE,5.9549641599491165,5
E4,aggregate,B2_w15,RMSE,7.6699951572778,5
E4,-1,B3,MAE,6.054843545664954,5
E4,-1,B3,RMSE,8.031135385590023,5
E4,+1,B3,MAE,4.683919869605586,5
E4,+1,B3,RMSE,6.7076529013665755,5
E4,aggregate,B3,MAE,5.4919601022769005,5
E4,aggregate,B3,RMSE,7.515983545532221,5
E4,-1,B4_HA,MAE,6.2310906937350765,5
E4,-1,B4_HA,RMSE,7.515239630476031,5
E4,+1,B4_HA,MAE,5.048905222569223,5
E4,+1,B4_HA,RMSE,6.354703645399465,5
E4,aggregate,B4_HA,MAE,5.745762253174294,5
E4,aggregate,B4_HA,RMSE,7.061913552416089,5
E4,-1,B5_XGB,MAE,5.52605161657732,5
E4,-1,B5_XGB,RMSE,7.023031994000418,5
E4,+1,B5_XGB,MAE,4.237960819944558,5
E4,+1,B5_XGB,RMSE,5.781350424174083,5
E4,aggregate,B5_XGB,MAE,4.997178276896439,5
E4,aggregate,B5_XGB,RMSE,6.541794075647307,5
E4,-1,B0,MAE,6.247413945396256,10
E4,-1,B0,RMSE,7.522024385674887,10
E4,+1,B0,MAE,5.089077525483829,10
E4,+1,B0,RMSE,6.4110691110939735,10
E4,aggregate,B0,MAE,5.7718160663689915,10
E4,aggregate,B0,RMSE,7.086985021368294,10
E4,-1,B1,MAE,7.8000804385152245,10
E4,-1,B1,RMSE,10.2321699754577,10
E4,+1,B1,MAE,6.022246420317226,10
E4,+1,B1,RMSE,8.428385448375176,10
E4,aggregate,B1,MAE,7.070124897290499,10
E4,aggregate,B1,RMSE,9.532948098210838,10
E4,-1,B2_w5,MAE,7.1603374399517445,10
E4,-1,B2_w5,RMSE,9.140990972677715,10
E4,+1,B2_w5,MAE,5.836541034808865,10
E4,+1,B2_w5,RMSE,7.892783849538279,10
E4,aggregate,B2_w5,MAE,6.616803841485186,10
E4,aggregate,B2_w5,RMSE,8.65031484267182,10
E4,-1,B2_w10,MAE,6.973501140386504,10
E4,-1,B2_w10,RMSE,8.772196935780759,10
E4,+1,B2_w10,MAE,5.7391522480120996,10
E4,+1,B2_w10,RMSE,7.570883819676322,10
E4,aggregate,B2_w10,MAE,6.466693528106382,10
E4,aggregate,B2_w10,RMSE,8.300019269803608,10
E4,-1,B2_w15,MAE,6.8443065578081015,10
E4,-1,B2_w15,RMSE,8.532584017987352,10
E4,+1,B2_w15,MAE,5.661619324274886,10
E4,+1,B2_w15,RMSE,7.372545188603946,10
E4,aggregate,B2_w15,MAE,6.358710551197564,10
E4,aggregate,B2_w15,RMSE,8.076473662802057,10
E4,-1,B3,MAE,6.956665453292481,10
E4,-1,B3,RMSE,8.884715512280192,10
E4,+1,B3,MAE,5.608889488021298,10
E4,+1,B3,RMSE,7.592128409751848,10
E4,aggregate,B3,MAE,6.403286159101455,10
E4,aggregate,B3,RMSE,8.378161370619708,10
E4,-1,B4_HA,MAE,6.2310906937350765,10
E4,-1,B4_HA,RMSE,7.515239630476031,10
E4,+1,B4_HA,MAE,5.048905222569223,10
E4,+1,B4_HA,RMSE,6.354703645399465,10
E4,aggregate,B4_HA,MAE,5.745762253174294,10
E4,aggregate,B4_HA,RMSE,7.061913552416089,10
E4,-1,B5_XGB,MAE,6.009634795893394,10
E4,-1,B5_XGB,RMSE,7.334435150550262,10
E4,+1,B5_XGB,MAE,4.860219111799586,10
E4,+1,B5_XGB,RMSE,6.2267181000872105,10
E4,aggregate,B5_XGB,MAE,5.537699655049755,10
E4,aggregate,B5_XGB,RMSE,6.90116900152632,10
