corridor,direction,baseline,metric,value,horizon
E2,-1,B0,MAE,6.162476933253725,1
E2,-1,B0,RMSE,7.614112929347797,1
E2,+1,B0,MAE,4.49110846364554,1
E2,+1,B0,RMSE,6.109388046384818,1
E2,aggregate,B0,MAE,5.287081401929769,1
E2,aggregate,B0,RMSE,6.867243111345008,1
E2,-1,B1,MAE,5.418362358800753,1
E2,-1,B1,RMSE,8.448239754450062,1
E2,+1,B1,MAE,4.155146990793513,1
E2,+1,B1,RMSE,6.8149339314767365,1
E2,aggregate,B1,MAE,4.7567409938168135,1
E2,aggregate,B1,RMSE,7.636473184088262,1
E2,-1,B2_w5,MAE,5.7209893758768,1
E2,-1,B2_w5,RMSE,7.566633275023137,1
E2,+1,B2_w5,MAE,4.401185987258491,1
E2,+1,B2_w5,RMSE,6.128125061505771,1
E2,aggregate,B2_w5,MAE,5.029729483380726,1
E2,aggregate,B2_w5,RMSE,6.850975138158692,1
E2,-1,B2_w10,MAE,5.971211344020902,1
E2,-1,B2_w10,RMSE,7.618516170053955,1
E2,+1,B2_w10,MAE,4.524638322385542,1
E2,+1,B2_w10,RMSE,6.14256408036963,1
E2,aggregate,B2_w10,MAE,5.213554620264322,1
E2,aggregate,B2_w10,RMSE,6.885046406819472,1
E2,-1,B2_w15,MAE,6.097825131489288,1
E2,-1,B2_w15,RMSE,7.680086365666425,1
E2,+1,B2_w15,MAE,4.554254139547509,1
E2,+1,B2_w15,RMSE,6.135689435483141,1
E2,aggregate,B2_w15,MAE,5.289364775082129,1
E2,aggregate,B2_w15,RMSE,6.914350507827931,1
E2,-1,B3,MAE,5.455228764038092,1
E2,-1,B3,RMSE,7.242415987756363,1
E2,+1,B3,MAE,4.160881143152752,1
E2,+1,B3,RMSE,5.856909177295112,1
E2,aggregate,B3,MAE,4.777301578078647,1
E2,aggregate,B3,RMSE,6.553378264330017,1
E2,-1,B4_HA,MAE,6.130748793100816,1
E2,-1,B4_HA,RMSE,7.586383849088152,1
E2,+1,B4_HA,MAE,4.466022789727812,1
E2,+1,B4_HA,RMSE,6.081404974376368,1
E2,aggregate,B4_HA,MAE,5.258843748586213,1
E2,aggregate,B4_HA,RMSE,6.839573283604869,1
E2,-1,B5_XGB,MAE,5.225629609116856,1
E2,-1,B5_XGB,RMSE,6.871900356742933,1
E2,+1,B5_XGB,MAE,3.9189781648700825,1
E2,+1,B5_XGB,RMSE,5.534006006092447,1
E2,aggregate,B5_XGB,MAE,4.541258175713086,1
E2,aggregate,B5_XGB,RMSE,6.207234417161777,1
E59,-1,B0,MAE,4.774019721869042,1
E59,-1,B0,RMSE,6.03589481843139,1
E59,+1,B0,MAE,4.971360778630083,1
E59,+1,B0,RMSE,6.220212795793611,1
E59,aggregate,B0,MAE,4.861834195219214,1
E59,aggregate,B0,RMSE,6.11859986398499,1
E59,-1,B1,MAE,3.4891993691700485,1
E59,-1,B1,RMSE,6.126845106620194,1
E59,+1,B1,MAE,2.615462487323446,1
E59,+1,B1,RMSE,5.147508041628234,1
E59,aggregate,B1,MAE,3.1003966264195175,1
E59,aggregate,B1,RMSE,5.711824583192785,1
E59,-1,B2_w5,MAE,3.824001982383163,1
E59,-1,B2_w5,RMSE,5.441150098672996,1
E59,+1,B2_w5,MAE,3.4457265736742397,1
E59,+1,B2_w5,RMSE,5.16509490419159,1
E59,aggregate,B2_w5,MAE,3.6556738283623864,1
E59,aggregate,B2_w5,RMSE,5.320077909020188,1
E59,-1,B2_w10,MAE,4.1071615749520225,1
E59,-1,B2_w10,RMSE,5.586302206063204,1
E59,+1,B2_w10,MAE,4.006515806462766,1
E59,+1,B2_w10,RMSE,5.558693015061479,1
E59,aggregate,B2_w10,MAE,4.062375379418929,1
E59,aggregate,B2_w10,RMSE,5.574033324679273,1
E59,-1,B2_w15,MAE,4.29675866132157,1
E59,-1,B2_w15,RMSE,5.723516512583127,1
E59,+1,B2_w15,MAE,4.330708713501268,1
E59,+1,B2_w15,RMSE,5.809849663311605,1
E59,aggregate,B2_w15,MAE,4.311866039387256,1
E59,aggregate,B2_w15,RMSE,5.762093495375501,1
E59,-1,B3,MAE,3.692580255670495,1
E59,-1,B3,RMSE,5.249264733528301,1
E59,+1,B3,MAE,3.2715763839182417,1
E59,+1,B3,RMSE,4.881145951622214,1
E59,aggregate,B3,MAE,3.505238432924129,1
E59,aggregate,B3,RMSE,5.088745633384658,1
E59,-1,B4_HA,MAE,4.720021610026316,1
E59,-1,B4_HA,RMSE,5.9909151584033165,1
E59,+1,B4_HA,MAE,4.911497631248026,1
E59,+1,B4_HA,RMSE,6.15231856327664,1
E59,aggregate,B4_HA,MAE,4.805227002132054,1
E59,aggregate,B4_HA,RMSE,6.063269052017585,1
E59,-1,B5_XGB,MAE,3.700015944621108,1
E59,-1,B5_XGB,RMSE,5.066048220291152,1
E59,+1,B5_XGB,MAE,2.9986107982909416,1
E59,+1,B5_XGB,RMSE,4.5249784993139235,1
E59,aggregate,B5_XGB,MAE,3.387898818357477,1
E59,aggregate,B5_XGB,RMSE,4.83276480641824,1
E2,-1,B0,MAE,6.162476933253725,3
E2,-1,B0,RMSE,7.614112929347797,3
E2,+1,B0,MAE,4.49110846364554,3
E2,+1,B0,RMSE,6.109388046384818,3
E2,aggregate,B0,MAE,5.287081401929769,3
E2,aggregate,B0,RMSE,6.867243111345008,3
E2,-1,B1,MAE,6.906572897003521,3
E2,-1,B1,RMSE,9.600302521853031,3
E2,+1,B1,MAE,5.317933557451162,3
E2,+1,B1,RMSE,7.750462771658717,3
E2,aggregate,B1,MAE,6.074507554131766,3
E2,aggregate,B1,RMSE,8.680734110694027,3
E2,-1,B2_w5,MAE,6.336632043968049,3
E2,-1,B2_w5,RMSE,8.200117049996598,3
E2,+1,B2_w5,MAE,4.859505268570558,3
E2,+1,B2_w5,RMSE,6.646872031153542,3
E2,aggregate,B2_w5,MAE,5.562972493788154,3
E2,aggregate,B2_w5,RMSE,7.427212791263298,3
E2,-1,B2_w10,MAE,6.347837483676174,3
E2,-1,B2_w10,RMSE,8.028380995650606,3
E2,+1,B2_w10,MAE,4.7764247112451415,3
E2,+1,B2_w10,RMSE,6.442118084116926,3
E2,aggregate,B2_w10,MAE,5.524794723288337,3
E2,aggregate,B2_w10,RMSE,7.241029742747685,3
E2,-1,B2_w15,MAE,6.364494116860117,3
E2,-1,B2_w15,RMSE,7.975075196663458,3
E2,+1,B2_w15,MAE,4.723686366677555,3
E2,+1,B2_w15,RMSE,6.343368375020184,3
E2,aggregate,B2_w15,MAE,5.505105060293643,3
E2,aggregate,B2_w15,RMSE,7.166935356595056,3
E2,-1,B3,MAE,6.121108806770118,3
E2,-1,B3,RMSE,7.930215649411676,3
E2,+1,B3,MAE,4.6653386481377135,3
E2,+1,B3,RMSE,6.406371430736419,3
E2,aggregate,B3,MAE,5.358634992841869,3
E2,aggregate,B3,RMSE,7.172578675151987,3
E2,-1,B4_HA,MAE,6.130748793100816,3
E2,-1,B4_HA,RMSE,7.586383849088152,3
E2,+1,B4_HA,MAE,4.466022789727812,3
E2,+1,B4_HA,RMSE,6.081404974376368,3
E2,aggregate,B4_HA,MAE,5.258843748586213,3
E2,aggregate,B4_HA,RMSE,6.839573283604869,3
E2,-1,B5_XGB,MAE,5.784697374661566,3
E2,-1,B5_XGB,RMSE,7.317142511201891,3
E2,+1,B5_XGB,MAE,4.321295894921439,3
E2,+1,B5_XGB,RMSE,5.9015581385699285,3
E2,aggregate,B5_XGB,MAE,5.018226581899939,3
E2,aggregate,B5_XGB,RMSE,6.613613584003711,3
E59,-1,B0,MAE,4.774019721869042,3
E59,-1,B0,RMSE,6.03589481843139,3
E59,+1,B0,MAE,4.971360778630083,3
E59,+1,B0,RMSE,6.220212795793611,3
E59,aggregate,B0,MAE,4.861834195219214,3
E59,aggregate,B0,RMSE,6.11859986398499,3
E59,-1,B1,MAE,4.396622595909069,3
E59,-1,B1,RMSE,6.866947943560836,3
E59,+1,B1,MAE,3.918111375600462,3
E59,+1,B1,RMSE,6.374037418434174,3
E59,aggregate,B1,MAE,4.183690672399454,3
E59,aggregate,B1,RMSE,6.652120237820234,3
E59,-1,B2_w5,MAE,4.266074225633914,3
E59,-1,B2_w5,RMSE,5.941193942824874,3
E59,+1,B2_w5,MAE,4.1822943841866556,3
E59,+1,B2_w5,RMSE,5.9943942546769,3
E59,aggregate,B2_w5,MAE,4.228793171327204,3
E59,aggregate,B2_w5,RMSE,5.96492605544447,3
E59,-1,B2_w10,MAE,4.41843156029917,3
E59,-1,B2_w10,RMSE,5.951948237276258,3
E59,+1,B2_w10,MAE,4.501440797001665,3
E59,+1,B2_w10,RMSE,6.1336111987351325,3
E59,aggregate,B2_w10,MAE,4.455369704463748,3
E59,aggregate,B2_w10,RMSE,6.033461618814788,3
E59,-1,B2_w15,MAE,4.529745864561451,3
E59,-1,B2_w15,RMSE,6.004311053158392,3
E59,+1,B2_w15,MAE,4.697569856409827,3
E59,+1,B2_w15,RMSE,6.238937919661747,3
E59,aggregate,B2_w15,MAE,4.6044255875829725,3
E59,aggregate,B2_w15,RMSE,6.109829999800352,3
E59,-1,B3,MAE,4.133440557812843,3
E59,-1,B3,RMSE,5.750322740669786,3
E59,+1,B3,MAE,3.986911472306812,3
E59,+1,B3,RMSE,5.718143204180221,3
E59,aggregate,B3,MAE,4.068236820256216,3
E59,aggregate,B3,RMSE,5.736025514559205,3
E59,-1,B4_HA,MAE,4.720021610026316,3
E59,-1,B4_HA,RMSE,5.9909151584033165,3
E59,+1,B4_HA,MAE,4.911497631248026,3
E59,+1,B4_HA,RMSE,6.15231856327664,3
E59,aggregate,B4_HA,MAE,4.805227002132054,3
E59,aggregate,B4_HA,RMSE,6.063269052017585,3
E59,-1,B5_XGB,MAE,4.138804560089133,3
E59,-1,B5_XGB,RMSE,5.447812608913619,3
E59,+1,B5_XGB,MAE,3.9060671431005476,3
E59,+1,B5_XGB,RMSE,5.293007779237746,3
E59,aggregate,B5_XGB,MAE,4.035239118425973,3
