corridor,n_bins,n_vertices,n_moving_pings,n_fit_sample,n_eval_sample,corridor_length_km,lateral_median_m,lateral_p95_m,is_production
E2,10,10,4332717,50000,200000,6.976,411.9,771.4,false
E2,20,19,4332717,50000,200000,7.856,232.6,481.5,false
E2,40,35,4332717,50000,200000,8.692,113.6,375.9,false
E2,50,44,4332717,50000,200000,9.119,90.2,357.7,true
E2,80,67,4332717,50000,200000,9.941,59.0,336.3,false
E4,10,10,2433487,50000,200000,8.544,200.5,747.4,false
E4,20,20,2433487,50000,200000,9.116,125.3,584.2,false
E4,40,40,2433487,50000,200000,9.691,72.1,388.5,false
E4,50,50,2433487,50000,200000,9.941,59.3,313.1,true
E4,80,80,2433487,50000,200000,10.426,39.5,258.1,false
E59,10,10,5465354,50000,200000,12.624,472.9,1728.5,false
E59,20,20,5465354,50000,200000,14.235,334.0,1568.2,false
E59,40,40,5465354,50000,200000,16.15,153.3,1020.0,false
E59,50,49,5465354,50000,200000,16.8,122.9,929.7,true
E59,80,80,5465354,50000,200000,18.491,57.0,404.4,false
