corridor,n_bins_a,n_bins_b,kl,below_legacy_threshold
E2,10,20,0.1938,false
E2,10,40,0.2521,false
E2,10,50,0.2734,false
E2,10,80,0.4026,false
E2,20,40,0.1447,false
E2,20,50,0.155,false
E2,20,80,0.2457,false
E2,40,50,0.0634,false
E2,40,80,0.2904,false
E2,50,80,0.2041,false
E4,10,20,0.0861,false
E4,10,40,0.1701,false
E4,10,50,0.1519,false
E4,10,80,0.1862,false
E4,20,40,0.141,false
E4,20,50,0.1317,false
E4,20,80,0.1904,false
E4,40,50,0.0333,false
E4,40,80,0.0855,false
E4,50,80,0.04,false
E59,10,20,0.2527,false
E59,10,40,0.2663,false
E59,10,50,0.265,false
E59,10,80,0.9885,false
E59,20,40,0.1356,false
E59,20,50,0.1259,false
E59,20,80,0.5215,false
E59,40,50,0.037,false
E59,40,80,0.4934,false
E59,50,80,0.4147,false
