model,corridor,horizon,pair_rank,n,mean_headway,mae
LSTM,E2,1,1,17344,8.677588627195997,4.255385784782827
LSTM,E2,1,2,13999,8.068587649608563,4.225802193489132
LSTM,E2,1,3,12951,7.254849905378983,3.8083888175505742
LSTM,E2,1,4,12269,7.154437199092862,3.904197787371831
LSTM,E2,1,5,10900,7.524010310348021,4.136672994346793
LSTM,E2,1,6,8760,8.108274449550942,4.3339983037073315
LSTM,E2,1,7,6152,8.316584612597724,4.482364493282936
LSTM,E2,1,8,3892,8.511594670955839,4.573092011177772
LSTM,E2,1,9,2166,8.821636528739859,4.665368767436301
LSTM,E2,1,10,1179,9.35710827266897,5.220925617056241
LSTM,E2,1,11,573,9.177808241070252,5.11339609244315
LSTM,E2,1,12,208,10.17818088714893,6.230372757865832
LSTM,E2,1,13,68,10.792562435655032,5.837097189005683
LSTM,E2,1,14,7,7.769960641860962,2.3498508589608327
LSTM,E2,1,15,1,28.46792221069336,8.045812606811523
LSTM,E2,3,1,16040,8.704241031512359,5.288875399860658
LSTM,E2,3,2,12900,8.096558256796165,4.992652667548305
LSTM,E2,3,3,11943,7.165426993164437,4.474895864238514
LSTM,E2,3,4,11228,6.9932168528283665,4.423404292530295
LSTM,E2,3,5,9962,7.3551001438197545,4.560747353505524
LSTM,E2,3,6,7891,7.9267944158097965,4.739315439488193
LSTM,E2,3,7,5323,8.13238098167643,4.82725816486967
LSTM,E2,3,8,3174,8.740263534253247,5.122354800173826
LSTM,E2,3,9,1760,8.921273499862714,5.29869949831204
LSTM,E2,3,10,899,9.52349174301139,5.876170965402622
LSTM,E2,3,11,391,9.661261909148273,6.004728768487721
LSTM,E2,3,12,137,10.725241386107285,6.430809435183114
LSTM,E2,3,13,42,11.416957508950006,5.768671143622625
LSTM,E2,3,14,4,5.568764686584473,7.168408632278442
LSTM,E2,3,15,1,5.795508861541748,0.8816275596618652
LSTM,E2,5,1,15477,8.812783089612678,5.689933795418135
LSTM,E2,5,2,12597,8.07874722950911,5.261551367249519
LSTM,E2,5,3,11667,7.154182355324407,4.684856578297712
LSTM,E2,5,4,11054,7.044298992270002,4.543830346431356
LSTM,E2,5,5,9782,7.442103950067231,4.699863747618384
LSTM,E2,5,6,7708,7.933772183417284,4.901790991680698
LSTM,E2,5,7,5061,8.2388017330686,5.006059558277096
LSTM,E2,5,8,2974,8.617244893540931,5.319011642055858
LSTM,E2,5,9,1569,9.139759141066182,5.597960801091142
LSTM,E2,5,10,796,9.918101617139788,6.3176374746926465
LSTM,E2,5,11,325,10.103040817700899,6.121334293805636
LSTM,E2,5,12,106,11.388018515874755,7.021150604733881
LSTM,E2,5,13,29,12.041620657361786,6.572784580033401
LSTM,E2,5,14,3,9.062325636545816,10.574320952097574
LSTM,E2,5,15,1,6.763447284698486,5.651061534881592
LSTM,E2,5,16,1,17.974687576293945,11.206100940704346
LSTM,E2,10,1,14792,8.863945337809248,6.270854666514807
LSTM,E2,10,2,12154,8.137953696761729,5.582198766495261
LSTM,E2,10,3,11373,7.201704885927551,4.889697406386927
LSTM,E2,10,4,10774,7.058427892126045,4.713967258885505
LSTM,E2,10,5,9476,7.462641442712725,4.778771726176325
LSTM,E2,10,6,7300,7.901194336610297,4.949613046744099
LSTM,E2,10,7,4709,8.232327038276269,5.14324961034678
LSTM,E2,10,8,2720,8.765711505097501,5.594820000055958
LSTM,E2,10,9,1416,9.045953250705859,5.811909924287581
LSTM,E2,10,10,687,10.172943556673141,6.6326792410193915
LSTM,E2,10,11,254,10.387846430455605,6.722764437592875
LSTM,E2,10,12,78,10.725498786339394,7.090051265863272
LSTM,E2,10,13,12,11.227504471937815,7.409197787443797
LSTM,E2,10,14,2,14.797724723815918,13.277569770812988
LSTM,E4,1,1,23534,12.813680531367314,3.1676362479078524
LSTM,E4,1,2,20195,11.91117543364315,3.086313254103031
LSTM,E4,1,3,16978,11.092021043203172,2.8846824932244433
LSTM,E4,1,4,13759,10.248113257116128,2.9431980256641297
LSTM,E4,1,5,10186,10.286452391890537,2.9612467306291754
LSTM,E4,1,6,7011,10.23155883225373,3.1700927852445075
LSTM,E4,1,7,4388,10.181493965625329,3.1952752392185526
LSTM,E4,1,8,2367,10.234185333437289,3.315159580100172
LSTM,E4,1,9,1114,9.098397532742156,3.146479336534839
LSTM,E4,1,10,297,9.08063545772925,3.754418052005447
LSTM,E4,3,1,22533,12.967019446367102,4.178630417896715
LSTM,E4,3,2,19011,12.098309627293373,4.094115421400913
LSTM,E4,3,3,15692,11.273710124230707,3.947882814611551
LSTM,E4,3,4,12437,10.474176372967609,3.9381150510367293
LSTM,E4,3,5,9136,10.479047771093098,3.8727844515635965
LSTM,E4,3,6,6303,10.304202187880247,4.025708645350513
LSTM,E4,3,7,3977,10.280000997303057,4.062038848949851
LSTM,E4,3,8,2134,10.333626252194934,4.051892615303104
LSTM,E4,3,9,947,8.828930443418315,3.6229737910197177
LSTM,E4,3,10,238,9.061409403296079,3.802518942776848
LSTM,E4,5,1,21801,13.061092341210305,4.6910884471001095
LSTM,E4,5,2,18407,12.209610277070107,4.602391687695658
LSTM,E4,5,3,15040,11.425021417851143,4.453420930974027
LSTM,E4,5,4,11811,10.52373108271569,4.427603351969934
LSTM,E4,5,5,8741,10.537191089374389,4.32763319323175
LSTM,E4,5,6,5940,10.38000323009812,4.438497343448677
LSTM,E4,5,7,3785,10.211768338544838,4.250111744047944
LSTM,E4,5,8,2029,10.273008106611467,4.270777744398498
LSTM,E4,5,9,886,8.824267462198675,3.8563293845605098
LSTM,E4,5,10,215,9.219247793596844,4.51537873245949
LSTM,E4,10,1,20572,13.028958203679922,5.413473035838153
LSTM,E4,10,2,17441,12.25609086302263,5.276007382928912
LSTM,E4,10,3,14228,11.542146877790724,5.18109917623929
LSTM,E4,10,4,11075,10.569855267199651,5.044062047532127
LSTM,E4,10,5,8124,10.639879291425016,4.895925067610954
LSTM,E4,10,6,5591,10.38433000862737,4.8429467447369925
LSTM,E4,10,7,3423,10.383910192511355,4.528251969462558
LSTM,E4,10,8,1848,10.337201664974163,4.747706779411861
LSTM,E4,10,9,738,9.381478683735297,4.446022805805775
LSTM,E4,10,10,150,8.853056662877401,4.764063879648845
LSTM,E59,1,1,24198,10.01969658153019,3.135760687276227
LSTM,E59,1,2,29037,9.271842751600044,2.997610923561359
LSTM,E59,1,3,29317,9.535569506013248,3.074110621867964
LSTM,E59,1,4,28668,9.53066036881505,3.1362242830569764
LSTM,E59,1,5,27101,9.618047012710417,3.252645848919151
LSTM,E59,1,6,25136,9.237233289216901,3.25520683723525
LSTM,E59,1,7,22528,8.824113745051859,3.2179644717199896
LSTM,E59,1,8,18800,8.401297127794711,3.183712733299174
LSTM,E59,1,9,14270,8.021996852644858,3.145818792127945
LSTM,E59,1,10,9836,7.5354375763606525,3.0696854823098136
LSTM,E59,1,11,6078,7.15415667726555,2.943503372839463
LSTM,E59,1,12,3445,7.123588762573995,2.854607223876156
LSTM,E59,1,13,1560,6.722123308976491,2.8132764192727895
LSTM,E59,1,14,650,6.285225318761972,2.6827582373985877
LSTM,E59,1,15,219,6.554362475599873,3.220037072760874
LSTM,E59,1,16,64,6.093764275312424,3.5376502871513367
LSTM,E59,3,1,22458,10.11789700201267,4.1618455530688605
LSTM,E59,3,2,27941,9.302670034767157,3.679952242290712
LSTM,E59,3,3,28375,9.533488420998998,3.703249354005385
LSTM,E59,3,4,27685,9.545227719765611,3.735433047072259
LSTM,E59,3,5,26154,9.615768531032993,3.7983096001426624
LSTM,E59,3,6,24146,9.227864446610788,3.7918124344259447
LSTM,E59,3,7,21626,8.842352833104467,3.6898671463703807
LSTM,E59,3,8,17910,8.391062042182016,3.5547555859297897
LSTM,E59,3,9,13524,8.024964205825938,3.4741072666712043
LSTM,E59,3,10,9188,7.50240142474135,3.317196883997504
LSTM,E59,3,11,5573,7.210143030085513,3.0988307948945004
LSTM,E59,3,12,3103,7.131393306761682,2.9747763036567476
LSTM,E59,3,13,1369,6.764635186721322,2.881473355261926
LSTM,E59,3,14,558,6.091672970829899,2.764259559706548
LSTM,E59,3,15,163,6.52462627551307,3.1132847107261234
LSTM,E59,3,16,53,6.524105764784903,3.6599038052109054
LSTM,E59,5,1,22311,10.110037959924085,4.519378703763968
LSTM,E59,5,2,27686,9.29756061067852,3.892172914411449
LSTM,E59,5,3,28101,9.557964756549802,3.8975020367362516
LSTM,E59,5,4,27321,9.550414777719226,3.9352648967242922
LSTM,E59,5,5,25788,9.659746850629693,4.002137647389589
LSTM,E59,5,6,23800,9.237845383331555,3.9538304441315786
LSTM,E59,5,7,21265,8.841903313126195,3.8482866098200774
LSTM,E59,5,8,17650,8.41354559763295,3.731682888738832
LSTM,E59,5,9,13281,8.038645722601986,3.600352573265522
LSTM,E59,5,10,8903,7.521699666735913,3.353232313511975
LSTM,E59,5,11,5399,7.189278307612858,3.194361470588646
LSTM,E59,5,12,3009,7.167594650885955,3.1537138175710804
LSTM,E59,5,13,1296,6.817026332572654,2.9422154639974054
LSTM,E59,5,14,529,6.277095350290742,2.873242961436454
LSTM,E59,5,15,158,6.529435664792604,3.2360049923764
LSTM,E59,5,16,42,6.1525434993562245,3.2108548368726457
LSTM,E59,10,1,21521,10.086956715241477,4.896468958720184
LSTM,E59,10,2,27192,9.318799414347817,4.152461183688401
LSTM,E59,10,3,27677,9.553629409975281,4.186451167028651
LSTM,E59,10,4,26789,9.590369995721952,4.221052229090729
LSTM,E59,10,5,25108,9.670917376564892,4.2719118364946995
LSTM,E59,10,6,23137,9.311790034276033,4.178498706116087
LSTM,E59,10,7,20649,8.855207776693092,4.0656590556410235
LSTM,E59,10,8,17067,8.50756044556011,3.9503588890745776
LSTM,E59,10,9,12718,8.142695033038482,3.855311358756737
LSTM,E59,10,10,8401,7.759424221457477,3.7050270277635637
LSTM,E59,10,11,4996,7.367585641369999,3.414979438098361
LSTM,E59,10,12,2744,7.437309517804805,3.4187276961156994
LSTM,E59,10,13,1136,7.019182370162346,3.1118205647233506
LSTM,E59,10,14,441,6.587695286117173,3.059241644108917
LSTM,E59,10,15,138,7.103851553322612,3.3803667400194253
LSTM,E59,10,16,41,6.45513604326946,3.3482730563093974
Persistence,E2,1,1,17344,8.677588627195997,3.7920043388608415
Persistence,E2,1,2,13999,8.068587649608563,4.130173517879532
Persistence,E2,1,3,12951,7.254849905378983,3.7884520966153783
Persistence,E2,1,4,12269,7.154437199092862,3.9252640399813155
Persistence,E2,1,5,10900,7.524010310348021,4.225643316496403
Persistence,E2,1,6,8760,8.108274449550942,4.461155583624426
Persistence,E2,1,7,6152,8.316584612597724,4.683427647938188
Persistence,E2,1,8,3892,8.511594670955839,4.59640936407989
Persistence,E2,1,9,2166,8.821636528739859,4.805928325278828
Persistence,E2,1,10,1179,9.35710827266897,5.141391246575638
Persistence,E2,1,11,573,9.177808241070252,5.201484216237359
Persistence,E2,1,12,208,10.17818088714893,4.960358315935502
Persistence,E2,1,13,68,10.792562435655032,4.931655126459458
Persistence,E2,1,14,7,7.769960641860962,2.3253176552908763
Persistence,E2,1,15,1,28.46792221069336,0.0
Persistence,E2,3,1,16040,8.704241031512359,5.789425560482719
Persistence,E2,3,2,12900,8.096558256796165,5.859256245664848
Persistence,E2,3,3,11943,7.165426993164437,5.288335658672875
Persistence,E2,3,4,11228,6.9932168528283665,5.2481653247178555
Persistence,E2,3,5,9962,7.3551001438197545,5.518259827402839
Persistence,E2,3,6,7891,7.9267944158097965,5.8069857755491086
Persistence,E2,3,7,5323,8.13238098167643,5.970052656141099
Persistence,E2,3,8,3174,8.740263534253247,6.160333483115487
Persistence,E2,3,9,1760,8.921273499862714,6.581368299505927
Persistence,E2,3,10,899,9.52349174301139,6.996875668791961
Persistence,E2,3,11,391,9.661261909148273,7.474042710745731
Persistence,E2,3,12,137,10.725241386107285,7.0407973675832265
Persistence,E2,3,13,42,11.416957508950006,6.670511149224781
