corridor,horizon,n_paired,coverage_pct,mae_lstm,mae_persist,mae_ha,delta_lstm_ha,delta_lstm_persist,delta_ha_persist,lstm_beats_ha
E2,1,90480,100.0,4.1954,4.1289,5.1874,-0.992,0.0665,1.0585,true
E2,3,81697,100.0,4.8382,5.6892,5.177,-0.3387,-0.851,-0.5123,true
E2,5,79151,99.999,5.0653,6.174,5.2033,-0.138,-1.1087,-0.9707,true
E2,10,75750,100.0,5.3205,6.7932,5.2497,0.0708,-1.4728,-1.5435,false
E4,1,99878,99.998,3.0569,2.593,5.6437,-2.5869,0.4639,3.0507,true
E4,3,92432,100.0,4.0338,4.0982,5.5955,-1.5618,-0.0644,1.4974,true
E4,5,88673,100.0,4.5068,5.0431,5.6035,-1.0966,-0.5363,0.5604,true
E4,10,83200,100.0,5.1454,6.526,5.7119,-0.5665,-1.3806,-0.8141,true
E59,1,240954,100.0,3.1347,2.8003,4.7473,-1.6126,0.3345,1.9471,true
E59,3,229867,100.0,3.6955,3.8812,4.7313,-1.0359,-0.1857,0.8501,true
E59,5,226572,100.0,3.8891,4.3802,4.7327,-0.8436,-0.4911,0.3525,true
E59,10,219778,100.0,4.1621,5.3346,4.7608,-0.5988,-1.1725,-0.5737,true
