corridor,horizon,tercile,n,mae_lstm,mae_ha,mae_persist,delta_lstm_ha,lstm_beats_ha
E2,5,low,22120,3.9908,4.2507,4.3218,-0.2599,true
E2,5,mid,28029,5.0052,5.1878,5.779,-0.1827,true
E2,5,high,28168,5.9607,5.9612,8.0022,-0.0005,true
E2,10,low,20972,4.5344,4.5365,5.0879,-0.0021,true
E2,10,mid,26878,5.3384,5.2923,6.376,0.0461,false
E2,10,high,27022,5.9037,5.7519,8.518,0.1518,false
E4,5,low,23336,3.539,4.7884,3.5749,-1.2494,true
E4,5,mid,32286,4.1279,5.2077,4.5146,-1.0798,true
E4,5,high,31909,5.6165,6.6103,6.6555,-0.9938,true
E4,10,low,22178,4.3914,5.0935,5.0502,-0.7021,true
E4,10,mid,30197,4.9921,5.5658,6.1078,-0.5738,true
E4,10,high,29694,5.8896,6.35,8.0612,-0.4604,true
E59,5,low,69548,3.1439,4.1627,3.2409,-1.0188,true
E59,5,mid,84368,3.5869,4.3255,4.0261,-0.7387,true
E59,5,high,71441,4.9725,5.772,5.9121,-0.7996,true
E59,10,low,67525,3.7471,4.4539,4.3545,-0.7068,true
E59,10,mid,81782,3.9341,4.5055,4.9091,-0.5715,true
E59,10,high,69250,4.8474,5.3726,6.8064,-0.5253,true
