model,corridor,horizon,n_vectors,mean_cv_true,mean_cv_pred,cv_bias,cv_mae,cv_correlation,n_cells,bunching_rate_true,bunching_rate_pred,bunching_tp,bunching_fp,bunching_fn,bunching_precision,bunching_recall,bunching_f1
LSTM,E2,1,16577,0.7768022590016208,0.36167436247657364,-0.41512789652504706,0.43372884118266625,0.3024507769939514,66623,0.2985905768278222,0.05074824009726371,2410,971,17483,0.7128068618751848,0.1211481425627105,0.2070980493254275
LSTM,E2,3,14622,0.7799849733142218,0.24461667686107763,-0.5353682964531441,0.5440662969792625,0.1686315180496998,56592,0.300519508057676,0.008817500706813685,333,166,16674,0.6673346693386774,0.019580172869994708,0.03804409916600023
LSTM,E2,5,14072,0.7843662754985598,0.19779545222795217,-0.5865708232706074,0.5919351295657558,0.11286792020104153,53863,0.30024320962441753,0.0023578337634368677,86,41,16086,0.6771653543307087,0.005317833292109819,0.010552794649978527
LSTM,E2,10,13292,0.7867869133103385,0.16071993732612044,-0.626066975984218,0.6294121037096744,0.06182000045472727,50353,0.30276249677278416,0.00027803705836792244,10,4,15235,0.7142857142857143,0.0006559527714004591,0.0013107018808571989
LSTM,E4,1,18535,0.5830878168353864,0.4386053631960283,-0.14448245363935813,0.1842243909691686,0.5957580979900509,73104,0.1831637119719851,0.08609652002626396,4585,1709,8805,0.7284715602160788,0.342419716206124,0.4658605974395448
LSTM,E4,3,16741,0.5691856066174195,0.3442110058771436,-0.2249746007402759,0.2567533005001391,0.3980355508649358,64647,0.1732795025291197,0.029993657865020805,1162,777,10040,0.5992779783393501,0.10373147652204963,0.17685107678258882
LSTM,E4,5,15788,0.5665616220755039,0.28820733067627513,-0.27835429139922874,0.30282302626489344,0.28094477295014797,60344,0.1724446506694949,0.01222988200981042,367,371,10039,0.497289972899729,0.035268114549298485,0.06586503948312995
LSTM,E4,10,14439,0.5773921003163126,0.21257654272260101,-0.3648155575937116,0.3784526048674286,0.1499764128210581,54430,0.17931287892706227,0.00275583318023149,75,75,9685,0.5,0.007684426229508197,0.01513622603430878
LSTM,E59,1,39010,0.6226737149373653,0.4235978586900852,-0.1990758562472801,0.21800960606223987,0.5142285296079103,231695,0.2123222339713848,0.0648438680161419,9879,5145,39315,0.6575479233226837,0.20081717282595438,0.3076707465196674
LSTM,E59,3,38130,0.6176744140732223,0.3434469508557625,-0.2742274632174598,0.2885747070235699,0.3624997299373058,219870,0.20850047755491882,0.02760267430754537,3370,2699,42473,0.5552809359037733,0.07351176842702266,0.1298351055632609
LSTM,E59,5,37960,0.6158730115174406,0.30988797565032183,-0.30598503586711867,0.31873292504559464,0.2862722535445767,216585,0.207969157605559,0.018011404298543296,2033,1868,43010,0.5211484234811586,0.04513464911306973,0.08307453416149067
LSTM,E59,10,37315,0.6142098096837411,0.2603543125656457,-0.35385549711809544,0.3623196168365677,0.213483086416619,209106,0.20788499612636654,0.007517718286419328,776,796,42694,0.49363867684478374,0.017851391764435242,0.034456729274898984
Persistence,E2,1,16577,0.7768022590016208,0.7875734474114022,0.01077118840978148,0.21924059606581847,0.49326482496167534,66623,0.2985905768278222,0.30279332963090827,11641,8532,8252,0.5770584444554603,0.5851807168350676,0.5810911995207907
Persistence,E2,3,14622,0.7799849733142218,0.7884969533528192,0.008511980038597506,0.2923217394445203,0.2684558180445867,56592,0.300519508057676,0.30403590613514275,7083,10123,9924,0.4116587237010345,0.4164755688834009,0.4140531376961973
Persistence,E2,5,14072,0.7843662754985598,0.7854658064723764,0.0010995309738167129,0.3082845047301931,0.19119926791195926,53863,0.30024320962441753,0.30174702485936544,6085,10168,10087,0.37439241986094873,0.37626762305218897,0.3753276792598304
Persistence,E2,10,13292,0.7867869133103385,0.7815172198427824,-0.00526969346755597,0.33288676654317695,0.09985145118523688,50353,0.30276249677278416,0.2995452108116696,5036,10047,10209,0.333885831731088,0.3303378156772712,0.33210234766552366
Persistence,E4,1,18535,0.5830878168353864,0.594750707596824,0.011662890761437639,0.1127949921994395,0.7309310880698249,73104,0.1831637119719851,0.18967498358502954,9349,4517,4041,0.6742391461127939,0.6982076176250933,0.6860140886410332
Persistence,E4,3,16741,0.5691856066174195,0.5877707712164816,0.018585164599062086,0.1735890691838687,0.5385072560426347,64647,0.1732795025291197,0.1841075378594521,5621,6281,5581,0.4722735674676525,0.5017853954650955,0.4865824099722991
Persistence,E4,5,15788,0.5665616220755039,0.5806607726746202,0.014099150599116449,0.20048690165112695,0.4262404211094499,60344,0.1724446506694949,0.1806144769985417,4063,6836,6343,0.3727864941737774,0.3904478185662118,0.3814128138934522
Persistence,E4,10,14439,0.5773921003163126,0.5754220850103154,-0.001970015305997127,0.23690369510669623,0.2816624766295894,54430,0.17931287892706227,0.17844938453058976,2611,7102,7149,0.2688149902192937,0.2675204918032787,0.26816617881168797
Persistence,E59,1,39010,0.6226737149373653,0.625397598161349,0.0027238832239835802,0.09440786082943031,0.7103682715251054,231695,0.2123222339713848,0.2128660523533093,30541,18779,18653,0.6192416869424169,0.620827743220718,0.6200337007937957
Persistence,E59,3,38130,0.6176744140732223,0.6223518989743566,0.004677484901134262,0.12940081845553097,0.5750017759977353,219870,0.20850047755491882,0.21085186701232547,21601,24759,24242,0.4659404659188956,0.47119516611042034,0.46855308395605344
Persistence,E59,5,37960,0.6158730115174406,0.6211208136125292,0.005247802095088772,0.14470887824956075,0.5117088527576268,216585,0.207969157605559,0.2101807604404737,18340,27182,26703,0.40288212292957254,0.40716648535843525,0.40501297410699494
Persistence,E59,10,37315,0.6142098096837411,0.6185018115875017,0.004292001903760729,0.17228521068895622,0.37460803178982277,209106,0.20788499612636654,0.20810976251279256,13183,30334,30287,0.30293908127858077,0.303266620657925,0.30310276248175017
XGBoost,E2,1,16577,0.7768022590016208,0.3664667349939491,-0.4103355240076716,0.42476143074546335,0.37808010044726315,66623,0.2985905768278222,0.042432793479729225,2100,727,17793,0.7428369296073576,0.10556477152767305,0.18485915492957744
XGBoost,E2,3,14622,0.7799849733142218,0.25141370065795854,-0.5285712726562631,0.5360693803908962,0.17168945327708568,56592,0.300519508057676,0.001448968052021487,60,22,16947,0.7317073170731707,0.0035279590756747223,0.007022060974896132
XGBoost,E2,5,14072,0.7843662754985598,0.2108968329841324,-0.5734694425144272,0.5783314421599915,0.09304038598232676,53863,0.30024320962441753,0.000018565620184542264,0,1,16172,0.0,0.0,0.0
XGBoost,E2,10,13292,0.7867869133103385,0.16133243893612415,-0.6254544743742142,0.6289589819575028,-0.016698453164200756,50353,0.30276249677278416,0.0,0,0,15245,0.0,0.0,0.0
XGBoost,E4,1,18535,0.5830878168353864,0.431585946109449,-0.1515018707259374,0.1755003906294586,0.6733969403820127,73104,0.1831637119719851,0.09145874370759466,5550,1136,7840,0.8300927310798684,0.4144884241971621,0.552898983861327
XGBoost,E4,3,16741,0.5691856066174195,0.32666604127764504,-0.24251956533977448,0.25948345526350886,0.5080919648956598,64647,0.1732795025291197,0.022089192073878137,1042,386,10160,0.7296918767507002,0.09301910373147652,0.1650039588281869
XGBoost,E4,5,15788,0.5665616220755039,0.2582591277395257,-0.3083024943359781,0.31949425589186564,0.3954256172291448,60344,0.1724446506694949,0.002204030226700252,83,50,10323,0.6240601503759399,0.007976167595617912,0.015751020020874845
XGBoost,E4,10,14439,0.5773921003163126,0.15747543810921602,-0.4199166622070965,0.4247645987726567,0.19589414253230575,54430,0.17931287892706227,0.0,0,0,9760,0.0,0.0,0.0
XGBoost,E59,1,39010,0.6226737149373653,0.38141620761312,-0.2412575073242453,0.2512437276468735,0.5554397015725715,231695,0.2123222339713848,0.045926757159196356,8330,2311,40864,0.7828211634244902,0.1693295930398016,0.27843235564468954
XGBoost,E59,3,38130,0.6176744140732223,0.29206023886857746,-0.32561417520464475,0.3314660530909456,0.41294003193147033,219870,0.20850047755491882,0.006421976622549688,1004,408,44839,0.7110481586402266,0.021900835460157492,0.04249285789863506
XGBoost,E59,5,37960,0.6158730115174406,0.24705774685064738,-0.36881526466679315,0.37329099624587003,0.34356371493181925,216585,0.207969157605559,0.0013574347253964955,190,104,44853,0.6462585034013606,0.004218191505894368,0.008381675011579945
XGBoost,E59,10,37315,0.6142098096837411,0.1586721177540397,-0.4555376919297014,0.4571795803420913,0.19697234530635446,209106,0.20788499612636654,0.00003347584478685451,6,1,43464,0.8571428571428571,0.00013802622498274673,0.00027600800423212274
