model,corridor,horizon,n,p99_threshold,n_clipped_targets,pct_clipped_targets,mae_vs_clipped_target,mae_vs_raw_target_as_produced,mae_vs_raw_target_fair,delta_vs_persist_clipped,delta_vs_persist_raw_fair,dm_p_raw_fair,raw_bunching_rate_true,raw_bunching_recall,raw_bunching_precision,raw_bunching_f1
LSTM,E2,1,90469,28.4679230336,966,1.0677690700682,4.1950610083142434,4.2033377543732415,4.2033377543732415,0.06672740313079473,0.06266425803434306,0.07759017294685593,0.2987857046365369,0.12106902441474932,0.7128068618751848,0.20698243655258297
LSTM,E2,3,81695,28.4679230336,852,1.0429034824652672,4.83803777771456,4.84617689241044,4.84617689241044,-0.8508558014103258,-0.8571878604982412,8.863537455942465e-19,0.30073155216284986,0.019625124860450087,0.6693386773547094,0.0381322068729307
LSTM,E2,5,79150,28.4679230336,817,1.0322173089071383,5.0653818936055774,5.073312776000185,5.073312776000185,-1.1085055299748063,-1.1155876608350024,3.601099886996628e-21,0.3003731689657093,0.005315532480375796,0.6771653543307087,0.010548264442536492
LSTM,E2,10,75747,28.4679230336,839,1.1076346257937608,5.320593734262,5.3292860039633805,5.3292860039633805,-1.4727070925644838,-1.4801105709140892,7.597168255736655e-25,0.3029809544615018,0.0006554798112218144,0.7142857142857143,0.0013097576948264572
LSTM,E4,1,99829,29.098441160533334,994,0.9957026515341234,3.057465455565247,3.0620766224520573,3.0620766224520573,0.4638924556325943,0.46268399089414114,1.1260245070023566e-13,0.18338257824469248,0.3422348202297479,0.7289482046393391,0.4657868020304568
LSTM,E4,3,92408,29.098441160533334,958,1.0367067786338846,4.034413090558003,4.039242520957887,4.039242520957887,-0.06421358060985405,-0.06662010658327855,0.17049560875365063,0.17343418874812444,0.10381733856582233,0.6003094378545643,0.1770207588776519
LSTM,E4,5,88655,29.098441160533334,905,1.0208110089673452,4.507276839902307,4.512001283307084,4.512001283307084,-0.5361716247372712,-0.539283051103931,2.931203270423048e-10,0.172544080604534,0.03534383403764887,0.4986449864498645,0.06600896860986546
LSTM,E4,10,83190,29.098441160533334,917,1.1022959490323356,5.145878493165379,5.1510263494798885,5.1510263494798885,-1.3805686909069967,-1.3841951093892524,2.838585054913986e-18,0.17945985669667464,0.007678132678132678,0.5,0.015124016938898973
LSTM,E59,1,240907,27.9969488128,1887,0.783289817232376,3.134602893743648,3.1416637169356436,3.1416637169356436,0.334370048920575,0.3337086434254397,2.8153966579042657e-13,0.2126243552946762,0.20081601169210783,0.6584797657082002,0.3077712792434047
LSTM,E59,3,229826,27.9969488128,1799,0.7827660926091913,3.6953854213099073,3.702444597511586,3.702444597511586,-0.18594143011863906,-0.1892668917067084,7.517622041938921e-8,0.2087642697957884,0.07352780985163722,0.5561047948591201,0.12988262459111027
LSTM,E59,5,226539,27.9969488128,1762,0.7777910205306813,3.8890484033234114,3.8962801476222477,3.8962801476222477,-0.49134174745697345,-0.495616626356405,5.8678892921368385e-19,0.2083108248493663,0.04514927854245628,0.522173801589336,0.08311232608429556
LSTM,E59,10,219755,27.9969488128,1706,0.77631908261473,4.16206410575468,4.1692356040578815,4.1692356040578815,-1.172690770232836,-1.17839086203068,2.859761413116573e-24,0.20813845609403844,0.017829653286767916,0.49363867684478374,0.03441623239827032
Persistence,E2,1,90469,28.4679230336,966,1.0677690700682,4.128333605183449,4.136610305946196,4.1406734963388985,0.0,0.0,,0.2987857046365369,0.5854013865166281,0.5771955025013621,0.5812694849731886
Persistence,E2,3,81695,28.4679230336,852,1.0429034824652672,5.688893579124886,5.697032664277458,5.703364752908681,0.0,0.0,,0.30073155216284986,0.4167107350608144,0.41196630845193144,0.41432494011801135
Persistence,E2,5,79150,28.4679230336,817,1.0322173089071383,6.173887423580384,6.1818182782191045,6.188900436835187,0.0,0.0,,0.3003731689657093,0.37641386983126274,0.37442360897632954,0.37541610159043276
Persistence,E2,10,75747,28.4679230336,839,1.1076346257937608,6.793300826826484,6.801993076024748,6.80939657487747,0.0,0.0,,0.3029809544615018,0.33042737283691664,0.33410657476139977,0.3322567888215133
Persistence,E4,1,99829,29.098441160533334,994,0.9957026515341234,2.5935729999326527,2.5982106902317152,2.599392631557916,0.0,0.0,,0.18338257824469248,0.6981202446665672,0.6743767113416919,0.6860431021844303
Persistence,E4,3,92408,29.098441160533334,958,1.0367067786338846,4.098626671167857,4.103456061943053,4.105862627541166,0.0,0.0,,0.17343418874812444,0.5016946129147342,0.4724905501889962,0.486654842756413
Persistence,E4,5,88655,29.098441160533334,905,1.0208110089673452,5.043448464639578,5.048172871550518,5.051284334411015,0.0,0.0,,0.172544080604534,0.3907030349596619,0.37293729372937295,0.3816135084427767
Persistence,E4,10,83190,29.098441160533334,917,1.1022959490323356,6.526447184072376,6.531594998182255,6.535221458869141,0.0,0.0,,0.17945985669667464,0.2676085176085176,0.2689300411522634,0.26826765188834156
Persistence,E59,1,240907,27.9969488128,1887,0.783289817232376,2.800232844823073,2.8073035796393526,2.807955073510204,0.0,0.0,,0.2126243552946762,0.6211432283208834,0.619646437032987,0.6203939298711567
Persistence,E59,3,229826,27.9969488128,1799,0.7827660926091913,3.8813268514285464,3.8883859719808593,3.8917114892182942,0.0,0.0,,0.2087642697957884,0.4712969216356942,0.46606773526370215,0.46866774266928085
