model,corridor,horizon,fires,hits,precision,ci_low,ci_high,level
LSTM,E2,1,3381,2410,0.7128068618751848,0.6972284823770487,0.7280163877638968,0.95
LSTM,E2,3,499,333,0.6673346693386774,0.6240930913099624,0.7085793370038966,0.95
LSTM,E2,5,127,86,0.6771653543307087,0.588471289167815,0.7573795494945599,0.95
LSTM,E2,10,14,10,0.7142857142857143,0.4189647428163392,0.9161106816928725,0.95
LSTM,E4,1,6294,4585,0.7284715602160788,0.7173004319712035,0.7394306025048185,0.95
LSTM,E4,3,1939,1162,0.5992779783393501,0.5770714474537375,0.6211837324422631,0.95
LSTM,E4,5,738,367,0.497289972899729,0.4606119795396335,0.5339897043506034,0.95
LSTM,E4,10,150,75,0.5,0.41735741029573414,0.5826425897042659,0.95
LSTM,E59,1,15024,9879,0.6575479233226837,0.6498968475023859,0.665137950660706,0.95
LSTM,E59,3,6069,3370,0.5552809359037733,0.5426722116457355,0.5678364863017147,0.95
LSTM,E59,5,3901,2033,0.5211484234811586,0.5053331321111403,0.5369320058195836,0.95
LSTM,E59,10,1572,776,0.49363867684478374,0.46863733808898145,0.5186638154555627,0.95
Persistence,E2,1,20173,11641,0.5770584444554603,0.5702056495627683,0.5838890226344895,0.95
Persistence,E2,3,17206,7083,0.4116587237010345,0.4042916589047985,0.4190556622001863,0.95
Persistence,E2,5,16253,6085,0.37439241986094873,0.3669442917750767,0.38188552488154365,0.95
Persistence,E2,10,15083,5036,0.333885831731088,0.3263590795390319,0.3414767015565694,0.95
Persistence,E4,1,13866,9349,0.6742391461127939,0.666366519788652,0.6820385955769942,0.95
Persistence,E4,3,11902,5621,0.4722735674676525,0.46327035819648954,0.48129034364484474,0.95
Persistence,E4,5,10899,4063,0.3727864941737774,0.36369755559099753,0.3819434406019697,0.95
Persistence,E4,10,9713,2611,0.2688149902192937,0.2600170615836074,0.2777517408460874,0.95
Persistence,E59,1,49320,30541,0.6192416869424169,0.6149392322672125,0.6235301029274691,0.95
Persistence,E59,3,46360,21601,0.4659404659188956,0.4613910902950738,0.4704941075485304,0.95
Persistence,E59,5,45522,18340,0.40288212292957254,0.39837181206142264,0.40740482289469565,0.95
Persistence,E59,10,43517,13183,0.30293908127858077,0.2986233598515522,0.3072811072468763,0.95
XGBoost,E2,1,2827,2100,0.7428369296073576,0.7263024003582969,0.7588672785125583,0.95
XGBoost,E2,3,82,60,0.7317073170731707,0.622440244827831,0.8236101406023427,0.95
XGBoost,E2,5,1,0,0.0,0.0,0.975,0.95
XGBoost,E2,10,0,0,,,,0.95
XGBoost,E4,1,6686,5550,0.8300927310798684,0.8208726035768736,0.8390239961454842,0.95
XGBoost,E4,3,1428,1042,0.7296918767507002,0.7058500479564014,0.7525849515329501,0.95
XGBoost,E4,5,133,83,0.6240601503759399,0.535954990518873,0.7065103273433984,0.95
XGBoost,E4,10,0,0,,,,0.95
XGBoost,E59,1,10641,8330,0.7828211634244902,0.7748630878980145,0.7906241869103965,0.95
XGBoost,E59,3,1412,1004,0.7110481586402266,0.6866295208789656,0.7345854341435241,0.95
XGBoost,E59,5,294,190,0.6462585034013606,0.5886430330236108,0.7008923155237825,0.95
XGBoost,E59,10,7,6,0.8571428571428571,0.4212768029568048,0.9963897031380994,0.95
