origin,corridor,horizon,n,n_service_days,base_rate,delta_auc,auc_ci_low,auc_ci_high,auc_survives,delta_mcc_fixed,mcc_fixed_ci_low,mcc_fixed_ci_high,mcc_fixed_survives,delta_mcc_calibrated,mcc_calibrated_ci_low,mcc_calibrated_ci_high,mcc_calibrated_survives,n_boot,seed,level
r1,E2,1,59099,20,0.30323694140340784,-0.00797498613654446,-0.01432233542350485,-0.001964926915121619,true,-0.17042537663581214,-0.19348175691970912,-0.1487691864949208,true,,,,,2000,42,0.95
r1,E2,3,49713,20,0.3066199987930722,0.029913243193559036,0.022842122018034757,0.035614921238858774,true,-0.10820325452158341,-0.12139862891300854,-0.09723001868595366,true,,,,,2000,42,0.95
r1,E2,5,47545,20,0.3046377116416027,0.04129832487846585,0.029513094418889496,0.051046830977710234,true,-0.099430444203749,-0.12328310938537508,-0.07964958784173085,true,,,,,2000,42,0.95
r1,E2,10,43980,20,0.30911778080945884,0.03483280613032591,0.0260062332192595,0.042970945179638606,true,-0.04591291928096344,-0.05858812178585554,-0.03146930372101212,true,,,,,2000,42,0.95
r1,E59,1,216733,22,0.21453124351160183,-0.027317656757424258,-0.0328526707898968,-0.021872708903514827,true,-0.22779654837100732,-0.237214266899547,-0.21725018350299768,true,,,,,2000,42,0.95
r1,E59,3,205743,22,0.21130731057678753,-0.006277625072872661,-0.012966731581139042,-0.0002129018098577463,true,-0.18236396190355375,-0.191166971340704,-0.17468157105590162,true,,,,,2000,42,0.95
r1,E59,5,202249,22,0.21025073053513244,0.00799851913405436,0.0002643288227831495,0.013874405563777179,true,-0.1494421896083135,-0.16139321461662923,-0.13960529958081216,true,,,,,2000,42,0.95
r1,E59,10,195049,22,0.21043430112433287,0.05182055980694156,0.04153662014721099,0.06105894178900287,true,-0.07442001152179294,-0.09107175158835454,-0.058488402908608364,true,,,,,2000,42,0.95
r1,E4,1,52725,19,0.17452821242294927,-0.017104247588392574,-0.02133183610699235,-0.013081892413838711,true,-0.17074828614751603,-0.18652676846860983,-0.15460084216150513,true,,,,,2000,42,0.95
r1,E4,3,46394,19,0.16653015476139155,-0.02524120685832787,-0.031232740966441505,-0.018840337921186296,true,-0.2317719258016538,-0.25152448604812483,-0.21311152334335937,true,,,,,2000,42,0.95
r1,E4,5,43154,19,0.1654539556008713,-0.01094252134129603,-0.017194115807985383,-0.004768539628237766,true,-0.2005215975191536,-0.22445719248384258,-0.1795302463154083,true,,,,,2000,42,0.95
r1,E4,10,37885,19,0.17273327174343409,0.037623486861028343,0.01722153095956616,0.0563943934988636,true,-0.07213154033313579,-0.10171471145163598,-0.04924123377744061,true,,,,,2000,42,0.95
r2,E2,1,64257,22,0.3030331325769955,-0.007189333402381037,-0.01236264380368687,-0.0013414808211317975,true,-0.2093334258318895,-0.22288931464708023,-0.1962372086203029,true,,,,,2000,42,0.95
r2,E2,3,53885,22,0.3040178157186601,0.030606643561462588,0.02452867999752933,0.036154333081338745,true,-0.107055637213965,-0.12103358103203063,-0.09372267872052449,true,,,,,2000,42,0.95
r2,E2,5,51431,21,0.30483560498532014,0.034897242571601206,0.02734665771917327,0.04288187653205578,true,-0.06985124494893519,-0.08543101253648519,-0.05414694955878189,true,,,,,2000,42,0.95
r2,E2,10,48300,21,0.3091925465838509,0.03269155909811838,0.02273117609572745,0.04232363025652038,true,-0.02569124563710757,-0.037875742460312944,-0.012478391463977952,true,,,,,2000,42,0.95
r2,E59,1,231993,22,0.21176932062605336,-0.0280186921332799,-0.032153672140275674,-0.024309760249696888,true,-0.24056218620074565,-0.2505094062962831,-0.23135448899060945,true,,,,,2000,42,0.95
r2,E59,3,220512,22,0.20764856334349152,-0.005734828139841164,-0.012687463505238583,0.00045341895091453215,false,-0.19677555335992905,-0.20772876332796644,-0.1861478628640298,true,,,,,2000,42,0.95
