model,corridor,horizon,n_vectors,v_true,v_pred,v_err,c_cross,ratio_measured,explained,gap_no_cov,r_identity
lstm,E2,1,16577,34.71069778429703,8.260564182481415,26.718366354444647,-0.13411637631451273,0.23798323599874327,0.23025556788051893,0.00772766811822434,0.9933265134982305
lstm,E2,3,14622,33.92094864736968,3.5196191351563764,30.70957012047868,-0.1541203041326883,0.10375945471764679,0.09467242677306476,0.009087027944582035,0.9933265134982305
lstm,E2,5,14072,34.29860490591927,2.2351645514156897,32.418097384582744,-0.17732851503958344,0.06516779786077957,0.05482752218332898,0.010340275677450592,0.9933265134982305
lstm,E2,10,13292,34.268558782902296,1.5551308026997586,33.810597710696555,-0.5485848652470064,0.045380688827674424,0.013363884810768112,0.03201680401690631,0.9933265134982305
lstm,E4,1,18535,36.682311020308205,20.258324386843636,18.531394952603947,-1.053704159569692,0.5522641246792805,0.49481386430793517,0.057450260371345374,0.9933265134982305
lstm,E4,3,16741,36.09448576317749,12.45829757061601,25.374336714195803,-0.8690742608171653,0.34515791836894905,0.2970024041710565,0.048155514197892546,0.9933265134982305
lstm,E4,5,15788,35.85827090292999,8.792097020074353,28.73807588617592,-0.8359510016601456,0.24519021131484475,0.19856492902373257,0.04662528229111218,0.9933265134982305
lstm,E4,10,14439,37.04756193601514,5.004132793051234,33.331735319151285,-0.6441530880936898,0.13507320135381307,0.10029881651271577,0.034774384841097294,0.9933265134982305
lstm,E59,1,39010,30.989451279455047,14.776257912945804,18.762039584842196,-1.2744231091664773,0.476815732543866,0.39456689905055564,0.08224883349331036,0.9933265134982305
lstm,E59,3,38130,30.427397091604657,10.084890344028377,22.323704614948834,-0.9905989336862787,0.3314411125495496,0.2663288105866849,0.06511230196286472,0.9933265134982305
lstm,E59,5,37960,30.30126521125942,8.221764949528968,23.644399786989716,-0.7824497626296356,0.2713340480078008,0.2196893554727256,0.0516446925350752,0.9933265134982305
lstm,E59,10,37315,30.326957853134427,5.9123871906904135,26.103626150599567,-0.8445277440777731,0.1949548391672705,0.1392599852246097,0.0556948539426608,0.9933265134982305
xgb,E2,1,16577,34.71069798154413,7.7345659779596305,27.342937038980345,-0.1834025176979267,0.22282945684561406,0.2122619644952476,0.01056749235036647,0.9959316244740978
xgb,E2,3,14622,33.92094883342879,3.422891561054064,31.039762129139298,-0.2708524283822854,0.10090789552681484,0.08493826981190178,0.01596962571491306,0.9959316244740978
xgb,E2,5,14072,34.29860509280999,2.3402065710355937,32.38137950347292,-0.21149049084925747,0.06823037160558376,0.05589806303052769,0.012332308575056072,0.9959316244740978
xgb,E2,10,13292,34.26855895315187,1.3720712959895451,33.093397758522656,-0.0984550506801655,0.040038780091841246,0.03429269366814525,0.005746086423695999,0.9959316244740978
xgb,E4,1,18535,36.682313191570294,20.081415978791224,17.88771638933904,-0.643409588279986,0.5474413751913004,0.5123612762389889,0.03508009895231157,0.9959316244740978
xgb,E4,3,16741,36.09448792241353,12.007259861932287,25.64193473249398,-0.7773533360063695,0.33266187035932876,0.28958862672848296,0.0430732436308458,0.9959316244740978
xgb,E4,5,15788,35.85827306840615,7.6418592530990015,29.879574094107095,-0.831580139399976,0.21311286348120478,0.16673136943582312,0.046381494045381666,0.9959316244740978
xgb,E4,10,14439,37.04756415883098,2.990338070482642,35.29404442473833,-0.6184091681949982,0.08071618575683981,0.04733157965730017,0.03338460609953964,0.9959316244740978
xgb,E59,1,39010,30.989452862552003,12.333449297725801,19.27480385230097,-0.30940014373738434,0.3979886109131561,0.3780205175679996,0.019968093345156535,0.9959316244740978
xgb,E59,3,38130,30.427398650399113,7.30985304076997,23.926694323427704,-0.4045743568992817,0.24023917143748624,0.21364640473089347,0.026592766706592774,0.9959316244740978
xgb,E59,5,37960,30.30126677388239,5.230336359350321,26.188048880785836,-0.5585592331268854,0.17261114521649346,0.13574409029796286,0.036867054918530595,0.9959316244740978
xgb,E59,10,37315,30.326959406669154,2.1778290783264556,29.469179043880093,-0.6600243577686958,0.07181165276488392,0.028284416887517816,0.04352723587736611,0.9959316244740978
