corridor,horizon,tercile,n,share,mae_persist,mae_dl,delta_mae
E2,5,low,192961,0.3333344849805055,4.37771923011113,4.026813847747605,-0.35090538236352486
E2,5,mid,192960,0.3333327575097473,6.07257384874598,5.173827338653427,-0.8987465100925531
E2,5,high,192960,0.3333327575097473,8.224063324429657,5.8798286046205845,-2.344234719809073
E2,10,low,187045,0.3333398678366992,4.987618649306902,4.4084756441176705,-0.5791430051892315
E2,10,mid,187038,0.333327392875728,6.561783175408365,5.3361564055648145,-1.2256267698435508
E2,10,high,187041,0.3333327392875728,8.688685462605543,5.78298410475659,-2.905701357848953
E59,5,low,711036,0.3333350522737597,3.269782341371084,3.1974456813534045,-0.07233666001767958
E59,5,mid,711037,0.33333552107569414,4.0672345559786525,3.665492070946503,-0.4017424850321496
E59,5,high,711024,0.33332942665054616,5.885888362116002,4.931989941072588,-0.953898421043414
E59,10,low,692844,0.33333365407283033,4.279883997888539,3.7762061064558914,-0.5036778914326474
E59,10,mid,692852,0.33333750294679415,4.883230101974289,3.9963349201987244,-0.8868951817755644
E59,10,high,692834,0.3333288429803756,6.725942470339753,4.7966844065714875,-1.9292580637682653
E4,5,low,169672,0.3333333333333333,3.8903943089740096,3.785838227084442,-0.10455608188956766
E4,5,mid,169672,0.3333333333333333,5.071786740009161,4.673038674884823,-0.39874806512433825
E4,5,high,169672,0.3333333333333333,7.222364439161827,6.049133698385832,-1.1732307407759945
E4,10,low,160461,0.3333340257840966,5.338531678212257,4.535302316327547,-0.8032293618847097
E4,10,mid,160461,0.3333340257840966,6.507327143929777,5.315981261368786,-1.1913458825609906
E4,10,high,160460,0.33333194843180675,8.519842911971518,6.228390182222022,-2.291452729749496
