corridor,direction,baseline,metric,value,horizon
E2,-1,LSTM_CONTIG,MAE,6.331427777579245,10
E2,-1,LSTM_CONTIG,RMSE,7.74563523696594,10
E2,+1,LSTM_CONTIG,MAE,4.371471347777902,10
E2,+1,LSTM_CONTIG,RMSE,5.970667774468997,10
E2,aggregate,LSTM_CONTIG,MAE,5.297414975604833,10
E2,aggregate,LSTM_CONTIG,RMSE,6.866634401015279,10
E59,-1,LSTM_CONTIG,MAE,4.232282850626031,10
E59,-1,LSTM_CONTIG,RMSE,5.593792964744771,10
E59,+1,LSTM_CONTIG,MAE,4.206251291940476,10
E59,+1,LSTM_CONTIG,RMSE,5.446291469259307,10
E59,aggregate,LSTM_CONTIG,MAE,4.220732600092342,10
E59,aggregate,LSTM_CONTIG,RMSE,5.528831956365483,10
