corridor,direction,baseline,metric,value,horizon,seed
E2,-1,LSTM,MAE,5.961946554536232,3,42
E2,-1,LSTM,RMSE,7.506399210375606,3,42
E2,+1,LSTM,MAE,4.157463245395681,3,42
E2,+1,LSTM,RMSE,5.8191967795700945,3,42
E2,aggregate,LSTM,MAE,4.927840560658123,3,42
E2,aggregate,LSTM,RMSE,6.592539349148798,3,42
E2,-1,LSTM,MAE,5.953241037810925,3,123
E2,-1,LSTM,RMSE,7.494128580709114,3,123
E2,+1,LSTM,MAE,4.159577448223515,3,123
E2,+1,LSTM,RMSE,5.829487838911397,3,123
E2,aggregate,LSTM,MAE,4.925335565037837,3,123
E2,aggregate,LSTM,RMSE,6.59178971926014,3,123
E2,-1,LSTM,MAE,5.965170643099907,3,456
E2,-1,LSTM,RMSE,7.499316731119398,3,456
E2,+1,LSTM,MAE,4.16457229035261,3,456
E2,+1,LSTM,RMSE,5.833786547173069,3,456
E2,aggregate,LSTM,MAE,4.933291024313144,3,456
E2,aggregate,LSTM,RMSE,6.5964864658570335,3,456
E2,-1,LSTM,MAE,5.973050199882071,3,789
E2,-1,LSTM,RMSE,7.511994535784575,3,789
E2,+1,LSTM,MAE,4.158492253655792,3,789
E2,+1,LSTM,RMSE,5.831929553222909,3,789
E2,aggregate,LSTM,MAE,4.93317067374477,3,789
E2,aggregate,LSTM,RMSE,6.601701839104543,3,789
E2,-1,LSTM,MAE,5.972027693822331,3,999
E2,-1,LSTM,RMSE,7.497595115321542,3,999
E2,+1,LSTM,MAE,4.158906472850265,3,999
E2,+1,LSTM,RMSE,5.815624667320425,3,999
E2,aggregate,LSTM,MAE,4.932971520380735,3,999
E2,aggregate,LSTM,RMSE,6.586452938630534,3,999
E59,-1,LSTM,MAE,3.9021843821302458,3,42
E59,-1,LSTM,RMSE,5.223193471012828,3,42
E59,+1,LSTM,MAE,3.7760538252125584,3,42
E59,+1,LSTM,RMSE,4.972024630568316,3,42
E59,aggregate,LSTM,MAE,3.85049494037467,3,42
E59,aggregate,LSTM,RMSE,5.121751984466359,3,42
E59,-1,LSTM,MAE,3.90631377026676,3,123
E59,-1,LSTM,RMSE,5.236896958249614,3,123
E59,+1,LSTM,MAE,3.7684487655544783,3,123
E59,+1,LSTM,RMSE,4.971885914956018,3,123
E59,aggregate,LSTM,MAE,3.8498154457897007,3,123
E59,aggregate,LSTM,RMSE,5.129948919334422,3,123
E59,-1,LSTM,MAE,3.9082487889479816,3,456
E59,-1,LSTM,RMSE,5.225084405828903,3,456
E59,+1,LSTM,MAE,3.7831034732397906,3,456
E59,+1,LSTM,RMSE,4.983063611496912,3,456
E59,aggregate,LSTM,MAE,3.856963107941252,3,456
E59,aggregate,LSTM,RMSE,5.127283819590822,3,456
E59,-1,LSTM,MAE,3.920728163301495,3,789
E59,-1,LSTM,RMSE,5.232485473214642,3,789
E59,+1,LSTM,MAE,3.7742665637988093,3,789
E59,+1,LSTM,RMSE,4.96697924870513,3,789
E59,aggregate,LSTM,MAE,3.860706876613107,3,789
E59,aggregate,LSTM,RMSE,5.12534219385691,3,789
E59,-1,LSTM,MAE,3.912185015520965,3,999
E59,-1,LSTM,RMSE,5.234400527959585,3,999
E59,+1,LSTM,MAE,3.7712886097117777,3,999
E59,+1,LSTM,RMSE,4.9687995191121335,3,999
E59,aggregate,LSTM,MAE,3.8544443954871,3,999
E59,aggregate,LSTM,RMSE,5.127218983727221,3,999
