corridor,direction,baseline,metric,value,horizon
E2,-1,LSTM,MAE,5.366869270871593,1
E2,-1,LSTM,RMSE,6.950891100977116,1
E2,+1,LSTM,MAE,3.8031408494765278,1
E2,+1,LSTM,RMSE,5.395084189479263,1
E2,aggregate,LSTM,MAE,4.470720910331523,1
E2,aggregate,LSTM,RMSE,6.107954529007901,1
E59,-1,LSTM,MAE,3.502315224725318,1
E59,-1,LSTM,RMSE,4.869893234453945,1
E59,+1,LSTM,MAE,3.1000388100456293,1
E59,+1,LSTM,RMSE,4.358620475543553,1
E59,aggregate,LSTM,MAE,3.3374588076081437,1
E59,aggregate,LSTM,RMSE,4.667147338719662,1
