corridor,formulation,n_pings,n_days,n_rows,mi_bits,mi_sd,is_adopted
E2,A,166351,3,12188,1.367,0.014,false
E2,B,166351,3,42654,0.153,0.003,false
E2,C1,166351,3,42654,0.088,0.004,false
E2,C2,166351,3,42654,0.585,0.011,true
E4,A,71022,3,6601,2.466,0.012,false
E4,B,71022,3,21984,0.142,0.005,false
E4,C1,71022,3,21984,0.052,0.008,false
E4,C2,71022,3,21984,1.096,0.009,true
E59,A,178232,3,12086,0.638,0.017,false
E59,B,178232,3,56341,0.059,0.003,false
E59,C1,178232,3,56341,0.022,0.003,false
E59,C2,178232,3,56341,1.268,0.003,true
