model,corridor,horizon,n,mae_dl,rmse_dl,mae_persist,rmse_persist,delta_mae,delta_rmse
LSTM,E2,1,654303,4.274129949219079,5.899467426698805,4.237400088367662,7.102631395209894,0.03672986085141705,-1.203163968511089
LSTM,E2,3,599117,4.8571863390764065,6.492708540938976,5.7622258889280715,8.33943023384826,-0.905039549851665,-1.8467216929092842
LSTM,E2,5,583733,5.024461065533928,6.710978805284238,6.2153683930091566,8.693067810681821,-1.1909073274752284,-1.982089005397583
LSTM,E2,10,566186,5.1630503425594165,6.937457263519284,6.734279158067441,9.159967580982359,-1.5712288155080243,-2.222510317463075
LSTM,E4,1,577255,3.36687412217274,5.154162850920766,2.844448772254341,5.80059080392533,0.5224253499183993,-0.6464279530045642
LSTM,E4,3,535061,4.397854823447289,6.028815085080014,4.437903405075334,7.182683786401508,-0.04004858162804492,-1.1538687013214943
LSTM,E4,5,514587,4.831929667443148,6.432408428297752,5.384534675749402,7.957292513024465,-0.5526050083062541,-1.5248840847267138
LSTM,E4,10,487011,5.359650584264592,7.010183504217162,6.775674103058866,9.156793938417074,-1.4160235187942742,-2.1466104341999124
LSTM,E59,1,2264126,3.1624737649707773,4.465042672453148,2.8198243392569347,5.328151432057793,0.3426494257138426,-0.8631087596046454
LSTM,E59,3,2169833,3.721267493499723,4.957222378576786,3.8984839363320383,6.26998374275974,-0.1772164428323153,-1.312761364182954
LSTM,E59,5,2142718,3.929952349872025,5.181941775822274,4.39577164587488,6.658370320985156,-0.4658192960028549,-1.4764285451628822
LSTM,E59,10,2088148,4.1875697681827235,5.497578879552952,5.28151470276952,7.406354657905581,-1.0939449345867969,-1.908775778352629
SpatialConvLSTM,E2,1,654303,4.273549927259842,5.900017415402198,4.237400088367662,7.102631395209894,0.0361498388921806,-1.2026139798076958
SpatialConvLSTM,E2,3,599117,4.860000615194215,6.497087566349346,5.7622258889280715,8.33943023384826,-0.9022252737338565,-1.8423426674989143
SpatialConvLSTM,E2,5,583733,5.024871312033325,6.711679523849385,6.2153683930091566,8.693067810681821,-1.190497080975832,-1.981388286832436
SpatialConvLSTM,E2,10,566186,5.165209183638425,6.919651612530625,6.734279158067441,9.159967580982359,-1.5690699744290155,-2.2403159684517338
SpatialConvLSTM,E4,1,577255,3.3723491540862836,5.185823385837683,2.844448772254341,5.80059080392533,0.5279003818319428,-0.6147674180876477
SpatialConvLSTM,E4,3,535061,4.417798722432032,6.055622957601114,4.437903405075334,7.182683786401508,-0.020104682643301786,-1.1270608288003947
SpatialConvLSTM,E4,5,514587,4.872116621604861,6.495988216853345,5.384534675749402,7.957292513024465,-0.5124180541445407,-1.4613042961711207
SpatialConvLSTM,E4,10,487011,5.380659903708951,7.0208641260171145,6.775674103058866,9.156793938417074,-1.395014199349915,-2.1359298123999597
SpatialConvLSTM,E59,1,2264126,3.152552191770141,4.4598870202804015,2.8198243392569347,5.328151432057793,0.33272785251320647,-0.8682644117773917
SpatialConvLSTM,E59,3,2169833,3.7254736742047463,4.965095469136968,3.8984839363320383,6.26998374275974,-0.17301026212729198,-1.3048882736227716
SpatialConvLSTM,E59,5,2142718,3.940014652730979,5.193173803034525,4.39577164587488,6.658370320985156,-0.4557569931439005,-1.4651965179506314
SpatialConvLSTM,E59,10,2088148,4.2046191355023055,5.526246629184683,5.28151470276952,7.406354657905581,-1.076895567267215,-1.8801080287208984
SpatialTransformer,E2,1,654303,4.29425236399174,5.913489314324031,4.237400088367662,7.102631395209894,0.05685227562407835,-1.1891420808858628
SpatialTransformer,E2,3,599117,4.877839942967814,6.544715213381894,5.7622258889280715,8.33943023384826,-0.8843859459602577,-1.7947150204663656
SpatialTransformer,E2,5,583733,5.0691893447783976,6.771089044834375,6.2153683930091566,8.693067810681821,-1.146179048230759,-1.921978765847446
SpatialTransformer,E2,10,566186,5.176986918750974,6.976044205082733,6.734279158067441,9.159967580982359,-1.5572922393164665,-2.183923375899626
SpatialTransformer,E4,1,577255,3.418836244387077,5.198868749676125,2.844448772254341,5.80059080392533,0.5743874721327362,-0.6017220542492057
SpatialTransformer,E4,3,535061,4.476905314266391,6.112671180776659,4.437903405075334,7.182683786401508,0.03900190919105739,-1.0700126056248491
SpatialTransformer,E4,5,514587,4.913610403834743,6.534420570602147,5.384534675749402,7.957292513024465,-0.4709242719146589,-1.4228719424223186
SpatialTransformer,E4,10,487011,5.4071485033316495,7.072265078019078,6.775674103058866,9.156793938417074,-1.3685255997272163,-2.084528860397996
SpatialTransformer,E59,1,2264126,3.1590836897381958,4.473582679261269,2.8198243392569347,5.328151432057793,0.3392593504812611,-0.8545687527965242
SpatialTransformer,E59,3,2169833,3.752619648752096,4.985648822899506,3.8984839363320383,6.26998374275974,-0.14586428757994208,-1.2843349198602336
SpatialTransformer,E59,5,2142718,3.948394060499183,5.202090242001292,4.39577164587488,6.658370320985156,-0.4473775853756967,-1.4562800789838644
SpatialTransformer,E59,10,2088148,4.18238846018329,5.494822217000224,5.28151470276952,7.406354657905581,-1.0991262425862303,-1.911532440905357
