model,corridor,horizon,metric,n,paired_dl,reported_dl,abs_diff_dl,paired_persist,reported_persist,abs_diff_persist,paired_delta,reported_delta,paired_dl_better,reported_dl_better,sign_mismatch
LSTM,E2,1,MAE,654303,4.274129949219079,4.463865647406177,0.18973569818709812,4.237400088367662,4.7567409938168135,0.5193409054491518,0.03672986085141705,-0.2928753464106366,false,true,true
LSTM,E2,1,RMSE,654303,5.899467426698805,6.084020638897893,0.18455321219908782,7.102631395209894,7.636473184088262,0.5338417888783678,-1.203163968511089,-1.552452545190369,true,true,false
LSTM,E2,3,MAE,599117,4.8571863390764065,4.916415326131247,0.05922898705484059,5.7622258889280715,6.074507554131766,0.3122816652036944,-0.905039549851665,-1.1580922280005188,true,true,false
LSTM,E2,3,RMSE,599117,6.492708540938976,6.5655494620655075,0.07284092112653173,8.33943023384826,8.680734110694027,0.34130387684576746,-1.8467216929092842,-2.11518464862852,true,true,false
LSTM,E2,5,MAE,583733,5.024461065533928,5.040062334336635,0.015601268802706514,6.2153683930091566,6.492580002526008,0.27721160951685153,-1.1909073274752284,-1.4525176681893734,true,true,false
LSTM,E2,5,RMSE,583733,6.710978805284238,6.747602148786223,0.036623343501984706,8.693067810681821,9.012472580191934,0.319404769510113,-1.982089005397583,-2.2648704314057113,true,true,false
LSTM,E2,10,MAE,566186,5.1630503425594165,5.128151366538658,0.03489897602075853,6.734279158067441,7.025542141839601,0.2912629837721603,-1.5712288155080243,-1.8973907753009431,true,true,false
LSTM,E2,10,RMSE,566186,6.937457263519284,6.925541688551211,0.011915574968073273,9.159967580982359,9.478951124340092,0.31898354335773327,-2.222510317463075,-2.5534094357888817,true,true,false
LSTM,E4,1,MAE,577255,3.36687412217274,3.7743336719186207,0.4074595497458806,2.844448772254341,3.1296341208055303,0.2851853485511895,0.5224253499183993,0.6446995511130904,false,false,false
LSTM,E4,1,RMSE,577255,5.154162850920766,5.548671616358864,0.3945087654380979,5.80059080392533,6.148060730514267,0.3474699265889365,-0.6464279530045642,-0.5993891141554029,true,true,false
LSTM,E4,3,MAE,535061,4.397854823447289,4.679166542903919,0.2813117194566299,4.437903405075334,4.782842024403603,0.3449386193282695,-0.04004858162804492,-0.10367548149968453,true,true,false
LSTM,E4,3,RMSE,535061,6.028815085080014,6.3052616077275205,0.2764465226475066,7.182683786401508,7.617942223502339,0.43525843710083034,-1.1538687013214943,-1.312680615774818,true,true,false
LSTM,E4,5,MAE,514587,4.831929667443148,5.013573983015411,0.1816443155722638,5.384534675749402,5.739753221739015,0.35521854598961333,-0.5526050083062541,-0.7261792387236037,true,true,false
LSTM,E4,5,RMSE,514587,6.432408428297752,6.606535149659079,0.17412672136132734,7.957292513024465,8.423348265172438,0.46605575214797224,-1.5248840847267138,-1.8168131155133587,true,true,false
LSTM,E4,10,MAE,487011,5.359650584264592,5.348444954721688,0.011205629542903495,6.775674103058866,7.070124897290499,0.2944507942316328,-1.4160235187942742,-1.7216799425688105,true,true,false
LSTM,E4,10,RMSE,487011,7.010183504217162,6.994579813142466,0.015603691074695725,9.156793938417074,9.532948098210838,0.37615415979376365,-2.1466104341999124,-2.5383682850683718,true,true,false
LSTM,E59,1,MAE,2264126,3.1624737649707773,3.333578889928732,0.17110512495795493,2.8198243392569347,3.1003966264195175,0.28057228716258287,0.3426494257138426,0.23318226350921467,false,false,false
LSTM,E59,1,RMSE,2264126,4.465042672453148,4.651235308030252,0.18619263557710397,5.328151432057793,5.711824583192785,0.38367315113499156,-0.8631087596046454,-1.060589275162533,true,true,false
LSTM,E59,3,MAE,2169833,3.721267493499723,3.84672010276469,0.12545260926496704,3.8984839363320383,4.183690672399454,0.28520673606741553,-0.1772164428323153,-0.3369705696347638,true,true,false
LSTM,E59,3,RMSE,2169833,4.957222378576786,5.110598277047468,0.15337589847068234,6.26998374275974,6.652120237820234,0.38213649506049396,-1.312761364182954,-1.5415219607727657,true,true,false
LSTM,E59,5,MAE,2142718,3.929952349872025,4.029033232326954,0.09908088245492941,4.39577164587488,4.697795165217835,0.30202351934295546,-0.4658192960028549,-0.6687619328908809,true,true,false
LSTM,E59,5,RMSE,2142718,5.181941775822274,5.312244062265007,0.130302286442733,6.658370320985156,7.065158176889069,0.40678785590391264,-1.4764285451628822,-1.7529141146240619,true,true,false
LSTM,E59,10,MAE,2088148,4.1875697681827235,4.224465201445966,0.036895433263242516,5.28151470276952,5.593333225710658,0.3118185229411372,-1.0939449345867969,-1.3688680242646916,true,true,false
LSTM,E59,10,RMSE,2088148,5.497578879552952,5.563121318708254,0.06554243915530211,7.406354657905581,7.824204696667109,0.4178500387615278,-1.908775778352629,-2.2610833779588546,true,true,false
SpatialConvLSTM,E2,1,MAE,654303,4.273549927259842,4.463951264931935,0.19040133767209255,4.237400088367662,4.7567409938168135,0.5193409054491518,0.0361498388921806,-0.29278972888487864,false,true,true
SpatialConvLSTM,E2,1,RMSE,654303,5.900017415402198,6.0840760032439665,0.18405858784176843,7.102631395209894,7.636473184088262,0.5338417888783678,-1.2026139798076958,-1.5523971808442951,true,true,false
SpatialConvLSTM,E2,3,MAE,599117,4.860000615194215,4.916298401933088,0.05629778673887298,5.7622258889280715,6.074507554131766,0.3122816652036944,-0.9022252737338565,-1.158209152198678,true,true,false
SpatialConvLSTM,E2,3,RMSE,599117,6.497087566349346,6.569709015580211,0.07262144923086566,8.33943023384826,8.680734110694027,0.34130387684576746,-1.8423426674989143,-2.111025095113816,true,true,false
SpatialConvLSTM,E2,5,MAE,583733,5.024871312033325,5.03742509120753,0.012553779174205637,6.2153683930091566,6.492580002526008,0.27721160951685153,-1.190497080975832,-1.4551549113184779,true,true,false
SpatialConvLSTM,E2,5,RMSE,583733,6.711679523849385,6.740263118382236,0.028583594532850753,8.693067810681821,9.012472580191934,0.319404769510113,-1.981388286832436,-2.272209461809698,true,true,false
SpatialConvLSTM,E2,10,MAE,566186,5.165209183638425,5.123206878966975,0.04200230467144994,6.734279158067441,7.025542141839601,0.2912629837721603,-1.5690699744290155,-1.9023352628726258,true,true,false
SpatialConvLSTM,E2,10,RMSE,566186,6.919651612530625,6.896028003235003,0.023623609295622572,9.159967580982359,9.478951124340092,0.31898354335773327,-2.2403159684517338,-2.5829231211050896,true,true,false
SpatialConvLSTM,E4,1,MAE,577255,3.3723491540862836,3.810878946748627,0.43852979266234327,2.844448772254341,3.1296341208055303,0.2851853485511895,0.5279003818319428,0.6812448259430965,false,false,false
