corridor,horizon,delta_mae_r1,winner_r1,dm_p_r1,delta_mae_r2,winner_r2,dm_p_r2,delta_mae_main,winner_main,dm_p_main,agrees,winner
E2,1,0.040706978634384224,PERSIST,0.29927288774208594,0.05391960562093931,PERSIST,0.06759535073144401,0.06648880079138289,PERSIST,0.06379068085484342,true,PERSIST
E2,3,-0.7339310643807048,LSTM,1.2898155386184616e-14,-0.7943320719756723,LSTM,3.599784836453878e-17,-0.8510127116360349,LSTM,1.0178214202602193e-18,true,LSTM
E2,5,-0.9930888828382657,LSTM,5.050736419675679e-18,-1.0735764118326327,LSTM,8.261057854464514e-23,-1.1086400418130224,LSTM,4.275386675374868e-21,true,LSTM
E2,10,-1.3976634626875173,LSTM,4.397265861431368e-22,-1.4127623335474488,LSTM,3.039776971964076e-24,-1.472779192269832,LSTM,9.414694920067307e-25,true,LSTM
E4,1,0.4587668558015272,PERSIST,1.437534467551727e-12,0.4240393366572052,PERSIST,2.1049249266266013e-12,0.46387614968016855,PERSIST,1.0193401955506936e-13,true,PERSIST
E4,3,0.167136569759985,PERSIST,0.0005355094656980974,-0.016675046389120252,LSTM,0.7198275032511926,-0.06439549487128644,LSTM,0.18333860529304183,false,SPLIT
E4,5,-0.2856712255449543,LSTM,7.78324353737625e-6,-0.520118437018115,LSTM,2.655414114466558e-10,-0.5362521103888879,LSTM,3.170733324283688e-10,true,LSTM
E4,10,-1.2146222338895252,LSTM,2.0699179349133042e-14,-1.3748409498529743,LSTM,1.7669229068755775e-16,-1.3805949149739283,LSTM,3.0189295980668937e-18,true,LSTM
E59,1,0.3743110311918824,PERSIST,1.205948426004331e-12,0.40925720525341813,PERSIST,9.2750662752664e-18,0.3344579864573575,PERSIST,2.5426452491571114e-13,true,PERSIST
E59,3,-0.133938907997849,LSTM,0.00012176988743657281,-0.11995283729664757,LSTM,1.14695164771326e-6,-0.1857470490596442,LSTM,9.976685926742307e-8,true,LSTM
E59,5,-0.4287974721874086,LSTM,2.7649024074596477e-13,-0.40533823547093856,LSTM,3.226345449267164e-15,-0.4911341978967681,LSTM,7.174623148525375e-19,true,LSTM
E59,10,-1.0461995146148835,LSTM,1.3552758801920927e-19,-1.072812445496463,LSTM,2.6876785698872134e-20,-1.172537212121711,LSTM,3.217502863458057e-24,true,LSTM
