origin,corridor,horizon,model,n_vectors,mean_cv_true,mean_cv_pred,cv_bias,cv_mae,cv_correlation,n_cells,bunching_rate_true,bunching_rate_pred,bunching_tp,bunching_fp,bunching_fn,bunching_precision,bunching_recall,bunching_f1
main,E2,1,LSTM,16577,0.7767405449563924,0.36166561683624143,-0.415074928120151,0.4336758727777702,0.30242948629556016,66634,0.2985863072905724,0.05075486988624426,2412,970,17484,0.7131874630396215,0.12123039806996382,0.2072342984792508
main,E2,1,Persistence,16577,0.7767405449563924,0.7875269601552227,0.01078641519883031,0.21921416342739172,0.49311623400580873,66634,0.2985863072905724,0.3027733589458835,11643,8532,8253,0.5771003717472118,0.5851930036188179,0.5811185146365201
r1,E2,1,LSTM,14780,0.7830151260667968,0.3756432138012297,-0.4073719122655671,0.4264260749096162,0.34312696386333913,59099,0.30323694140340784,0.05825817695730892,2456,987,15465,0.7133313970374673,0.13704592377657496,0.2299194907320726
r1,E2,1,Persistence,14780,0.7830151260667968,0.7933135064293481,0.010298380362551167,0.22327022675893157,0.49771862932188254,59099,0.30323694140340784,0.30782246738523494,10436,7756,7485,0.5736587510993844,0.5823335751353161,0.577963614210949
r2,E2,1,LSTM,15981,0.7812546702518417,0.35028370763679584,-0.43097096261504586,0.4461291723630703,0.2994548677546329,64257,0.3030331325769955,0.039886704950433415,1845,718,17627,0.7198595396020289,0.09475143796220213,0.16746085772634445
r2,E2,1,Persistence,15981,0.7812546702518417,0.7925953352049003,0.011340664953058606,0.22345323995644123,0.47171379305893635,64257,0.3030331325769955,0.3083866349191528,11381,8435,8091,0.5743338716188938,0.5844802793755136,0.5793626552636937
main,E2,3,LSTM,14622,0.7799756956727933,0.24461487007170027,-0.535360825601093,0.5440588261272112,0.16860870820460983,56594,0.30052655758560975,0.008817189101318162,333,166,16675,0.6673346693386774,0.019579021636876765,0.03804192608670818
main,E2,3,Persistence,14622,0.7799756956727933,0.788487253829241,0.00851155815644778,0.29232743949388473,0.26840877093728704,56594,0.30052655758560975,0.3040251616779164,7084,10122,9924,0.41171684296175753,0.4165098777046096,0.4140994914362542
r1,E2,3,LSTM,12829,0.7908643420150271,0.238490759992373,-0.552373582022654,0.5592177270343522,0.18283962900569103,49713,0.3066199987930722,0.006074869752378653,212,90,15031,0.7019867549668874,0.013908023354982615,0.027275651334834353
r1,E2,3,Persistence,12829,0.7908643420150271,0.7911476870216683,0.00028334500664127694,0.2939836225219999,0.26589564156400575,49713,0.3066199987930722,0.3058556112083358,6513,8692,8730,0.42834593883590927,0.4272780948632159,0.42781135049921176
r2,E2,3,LSTM,13897,0.7852508875843829,0.2386317555050198,-0.5466191320793632,0.5553001132145683,0.1389867431583221,53885,0.3040178157186601,0.004862206550988216,163,99,16219,0.6221374045801527,0.009949945061653033,0.019586637827445325
r2,E2,3,Persistence,13897,0.7852508875843829,0.7924926709682323,0.007241783383849366,0.2950536268966121,0.23551146445528706,53885,0.3040178157186601,0.3071726825647212,6809,9743,9573,0.41137022716288063,0.41563911610303994,0.4134936539746159
main,E2,5,LSTM,14072,0.7843739176226813,0.1977976686532943,-0.5865762489693871,0.5919405552645355,0.11291825895771213,53865,0.30025062656641605,0.0023577462173953404,86,41,16087,0.6771653543307087,0.005317504482779942,0.010552147239263805
main,E2,5,Persistence,14072,0.7843739176226813,0.7854581009863044,0.0010841833636231087,0.3082921443144055,0.19118674329735935,53865,0.30025062656641605,0.3017543859649123,6085,10169,10088,0.37436938599729297,0.376244357880418,0.37530453017547105
r1,E2,5,LSTM,12411,0.7901320015771534,0.18760789167538164,-0.6025241099017716,0.6074654637931799,0.12156870108357541,47545,0.3046377116416027,0.0010095698811652119,22,26,14462,0.4583333333333333,0.0015189174261253798,0.0030278007156619878
r1,E2,5,Persistence,12411,0.7901320015771534,0.7870417307921431,-0.0030902707850101814,0.31425101916348946,0.20415005063244931,47545,0.3046377116416027,0.30478494058260597,5523,8968,8961,0.38113311710716996,0.38131731565865784,0.38122519413287315
r2,E2,5,LSTM,13417,0.7870281723179171,0.19711184041455554,-0.5899163319033617,0.5956075533478495,0.10968369089497473,51431,0.30483560498532014,0.0015749256285119868,51,30,15627,0.6296296296296297,0.0032529659395331037,0.006472491909385114
r2,E2,5,Persistence,13417,0.7870281723179171,0.7876588689298325,0.0006306966119153661,0.3137441249398743,0.16386930007036488,51431,0.30483560498532014,0.3046606132488188,5843,9826,9835,0.3729019082264344,0.37268784283709655,0.37279484480173536
main,E2,10,LSTM,13292,0.7867519219340251,0.16072209863052062,-0.6260298233035045,0.6293749510289609,0.06178489593560074,50356,0.3027444594487251,0.0002780204940821352,10,4,15235,0.7142857142857143,0.0006559527714004591,0.0013107018808571989
main,E2,10,Persistence,13292,0.7867519219340251,0.7814824768950839,-0.005269445038941296,0.3328770613420585,0.0994854399257045,50356,0.3027444594487251,0.2995472237667805,5036,10048,10209,0.33386369663219306,0.3303378156772712,0.3320913976721949
r1,E2,10,LSTM,11598,0.793095331966824,0.12931783908740335,-0.6637774928794206,0.6660162741083281,0.059958614737033344,43980,0.30911778080945884,0.00006821282401091406,1,2,13594,0.3333333333333333,0.0000735564545788893,0.00014708045300779526
r1,E2,10,Persistence,11598,0.793095331966824,0.7855764149573108,-0.007518917009513009,0.33770740635297586,0.10555223769453834,43980,0.30911778080945884,0.30277398817644385,4549,8767,9046,0.34161910483628716,0.3346083118793674,0.33807736613280814
r2,E2,10,LSTM,12727,0.7953480880529183,0.1481769601977915,-0.647171127855127,0.6498717679815545,0.05968724813193586,48300,0.3091925465838509,0.00010351966873706004,3,2,14931,0.6,0.0002008838891120932,0.0004016333087890755
r2,E2,10,Persistence,12727,0.7953480880529183,0.7873904945294147,-0.007957593523503894,0.33730596493776227,0.07187238276789955,48300,0.3091925465838509,0.3029192546583851,4853,9778,10081,0.331692980657508,0.3249631712869961,0.328293590394047
main,E4,1,LSTM,18537,0.5830582186598852,0.43859744129662986,-0.14446077736325533,0.1841891572829715,0.595932796073691,73159,0.18317636927787423,0.08610013805546822,4589,1710,8812,0.7285283378314018,0.34243713155734645,0.46588832487309645
main,E4,1,Persistence,18537,0.5830582186598852,0.594783163701538,0.01172494504165296,0.11281606664325837,0.7309333860471825,73159,0.18317636927787423,0.1896827458002433,9358,4519,4043,0.6743532463789004,0.6983060965599582,0.6861206833345552
r1,E4,1,LSTM,13560,0.574221008839681,0.4382202054764508,-0.1360008033632303,0.16518372440626866,0.6587718376681575,52725,0.17452821242294927,0.08087245139876718,3350,914,5852,0.7856472795497186,0.36405129319713103,0.4975493836328531
