origin,corridor,horizon,metric,comparison,n,delta_loss,delta_mae,a_better,dm_stat_hac,dm_p_hac,dm_lag,dm_stat_clustered,dm_p_clustered,n_service_days,wilcoxon_p_two_sided,wilcoxon_p_one_sided,median_diff,win_rate,mean_median_disagree
main,E2,1,MAE,LSTM_vs_PERSIST,90480,0.06648880079138289,0.06648880079138289,false,3.814796996834362,0.00013638542622694162,44,1.9568609278232083,0.06379068085484342,22,3.1842230258264007e-118,1.5921115129132004e-118,0.3177518844604492,0.44210875331564986,false
r1,E2,1,MAE,LSTM_vs_PERSIST,82375,0.040706978634384224,0.040706978634384224,false,2.3328793603229787,0.019656872608736862,43,1.064311908863127,0.29927288774208594,22,1.3051770673192132e-104,6.525885336596066e-105,0.30972766876220703,0.44009711684370256,false
r2,E2,1,MAE,LSTM_vs_PERSIST,87246,0.05391960562093931,0.05391960562093931,false,3.059313906336588,0.0022191182704635088,44,1.927174515219254,0.06759535073144401,22,3.0394790106351083e-105,1.5197395053175542e-105,0.32229137420654297,0.44312633243930954,false
main,E2,3,MAE,LSTM_vs_PERSIST,81697,-0.8510127116360349,-0.8510127116360349,true,-39.855004422479155,0.0,43,-29.970206899700102,1.0178214202602193e-18,22,0.0,0.0,-0.3843955993652344,0.5453076612360307,false
r1,E2,3,MAE,LSTM_vs_PERSIST,74172,-0.7339310643807048,-0.7339310643807048,true,-33.311678207511854,1.6053789149345156e-241,42,-18.79856574739782,1.2898155386184616e-14,22,1.0568713922942317e-206,5.2843569614711586e-207,-0.2519979476928711,0.5297147171439357,false
r2,E2,3,MAE,LSTM_vs_PERSIST,78382,-0.7943320719756723,-0.7943320719756723,true,-37.006055679990574,3.4130926264303886e-297,42,-25.175389938897546,3.599784836453878e-17,22,1.2090599478910315e-292,6.045299739455158e-293,-0.34970664978027344,0.5403408945931464,false
main,E2,5,MAE,LSTM_vs_PERSIST,79152,-1.1086400418130224,-1.1086400418130224,true,-47.67164008549412,0.0,42,-39.068604568122474,4.275386675374868e-21,22,0.0,0.0,-0.6188064813613892,0.563952900747928,false
r1,E2,5,MAE,LSTM_vs_PERSIST,71851,-0.9930888828382657,-0.9930888828382657,true,-41.109869684015514,0.0,41,-27.717940955125986,5.050736419675679e-18,22,0.0,0.0,-0.4704580307006836,0.5479673212620562,false
r2,E2,5,MAE,LSTM_vs_PERSIST,75948,-1.0735764118326327,-1.0735764118326327,true,-46.50436510173029,0.0,42,-47.24296331057199,8.261057854464514e-23,22,0.0,0.0,-0.5851788520812988,0.5590930636751461,false
main,E2,10,MAE,LSTM_vs_PERSIST,75750,-1.472779192269832,-1.472779192269832,true,-51.70494809921462,0.0,42,-58.55293836563769,9.414694920067307e-25,22,0.0,0.0,-0.9576547145843506,0.5885148514851485,false
r1,E2,10,MAE,LSTM_vs_PERSIST,68259,-1.3976634626875173,-1.3976634626875173,true,-50.36584323352504,0.0,40,-43.59344832751487,4.397265861431368e-22,22,0.0,0.0,-0.8640437126159668,0.5752501501633485,false
r2,E2,10,MAE,LSTM_vs_PERSIST,72660,-1.4127623335474488,-1.4127623335474488,true,-51.83895289058401,0.0,41,-55.35522855011324,3.039776971964076e-24,22,0.0,0.0,-0.8857336044311523,0.5802229562345169,false
main,E4,1,MAE,LSTM_vs_PERSIST,99880,0.46387614968016855,0.46387614968016855,false,36.51895437060777,4.606743093809338e-290,46,16.93079484367843,1.0193401955506936e-13,22,0.0,0.0,0.46042847633361816,0.34020824989987986,false
r1,E4,1,MAE,LSTM_vs_PERSIST,76887,0.4587668558015272,0.4587668558015272,false,35.21305275499349,1.789619214023314e-269,42,15.42410282499303,1.437534467551727e-12,21,0.0,0.0,0.4098386764526367,0.33074511946102725,false
