corridor,horizon,n_eval,policy_low_mid_high,mae_persist,mae_dl,mae_router,mae_oracle,router_vs_dl,router_vs_persist,policy_frac,seed,align_max_abs_diff,align_tolerance
E2,1,258675,PPD,4.242083150025751,4.269904438928002,4.175992460572402,4.175992460572402,-0.0939119783555995,-0.06609068945334862,0.6,42,2.614763175756707e-6,0.01
E2,3,237542,DDD,5.748123282945762,4.854572230988829,4.854572230988829,4.854572230988829,0.0,-0.8935510519569325,0.6,42,2.614763175756707e-6,0.01
E2,5,231553,DDD,6.214718542163443,5.0190600286986236,5.0190600286986236,5.0190600286986236,0.0,-1.1956585134648199,0.6,42,2.614763175756707e-6,0.01
E2,10,224450,DDD,6.7363768939259,5.160705820392196,5.160705820392196,5.160705820392196,0.0,-1.5756710735337043,0.6,42,2.614763175756707e-6,0.01
E59,1,901187,PPP,2.822362142073904,3.1619837924493837,2.822362142073904,2.822362142073904,-0.33962165037547987,0.0,0.6,42,2.325037925743345e-6,0.01
E59,3,864504,PDD,3.9007627590636695,3.7229680240129324,3.668409049479182,3.668409049479182,-0.05455897453375025,-0.23235370958448742,0.6,42,2.325037925743345e-6,0.01
E59,5,853239,DDD,4.39171659808553,3.9275706111798687,3.9275706111798687,3.9275706111798687,0.0,-0.46414598690566145,0.6,42,2.325037925743345e-6,0.01
E59,10,831412,DDD,5.281935820371908,4.190688965088085,4.190688965088085,4.190688965088085,0.0,-1.0912468552838233,0.6,42,2.325037925743345e-6,0.01
E4,1,227896,PPP,2.8576569781790027,3.3721526339818797,2.8576569781790027,2.8576569781790027,-0.514495655802877,0.0,0.6,42,2.6451516177417034e-6,0.01
E4,3,211677,PPD,4.460291811033988,4.41928388938891,4.279989251750556,4.279989251750556,-0.13929463763835415,-0.1803025592834322,0.6,42,2.6451516177417034e-6,0.01
E4,5,203607,DDD,5.380823329974908,4.844202144687991,4.844202144687991,4.844202144687991,0.0,-0.5366211852869176,0.6,42,2.6610296472995287e-6,0.01
E4,10,192553,DDD,6.772474621638424,5.370088552182364,5.370088552182364,5.370088552182364,0.0,-1.4023860694560604,0.6,42,2.6610296472995287e-6,0.01
