corridor,horizon,seed,policy_low_mid_high,n_eval,mae_router,router_vs_dl,router_vs_persist
E2,1,42,PPD,258675,4.175992460572402,-0.0939119783555995,-0.06609068945334862
E2,1,1,PPD,258675,4.1708506969530506,-0.09563099701726774,-0.0652920548123701
E2,1,7,PPD,258675,4.180999527562008,-0.09216227159988222,-0.06220508355909882
E2,1,123,PPD,258675,4.179519736809528,-0.09843874790078821,-0.06467274504236542
E2,1,2024,PPD,258675,4.171518596824773,-0.0932778601782358,-0.07415688798565867
E2,1,31337,PPD,258675,4.181005930620923,-0.09364694785057459,-0.06771821611172069
E2,3,42,DDD,237542,4.854572230988829,0.0,-0.8935510519569325
E2,3,1,DDD,237542,4.856225477667068,0.0,-0.9027456997719288
E2,3,7,DDD,237542,4.8441336448991645,0.0,-0.9250703516358731
E2,3,123,DDD,237542,4.871691985045346,0.0,-0.878710009500816
E2,3,2024,DDD,237542,4.868708282462525,0.0,-0.9072110629175318
E2,3,31337,DDD,237542,4.850676355761768,0.0,-0.9149469843610785
E2,5,42,DDD,231553,5.0190600286986236,0.0,-1.1956585134648199
E2,5,1,DDD,231553,5.017959991338585,0.0,-1.1889493164310965
E2,5,7,DDD,231553,5.018766159144483,0.0,-1.1987928968458368
E2,5,123,DDD,231553,5.02921691278072,0.0,-1.1743501984787201
E2,5,2024,DDD,231553,5.029145695180512,0.0,-1.195467991337929
E2,5,31337,DDD,231553,5.025613481977324,0.0,-1.191770131489971
E2,10,42,DDD,224450,5.160705820392196,0.0,-1.5756710735337043
E2,10,1,DDD,224450,5.148517709309075,0.0,-1.5821245414900664
E2,10,7,DDD,224450,5.14838781208798,0.0,-1.5795102649272588
E2,10,123,DDD,224450,5.149611277449986,0.0,-1.588714062065315
E2,10,2024,DDD,224450,5.159471383167942,0.0,-1.5582602713518092
E2,10,31337,DDD,224450,5.148839735394527,0.0,-1.5783630393010393
E59,1,42,PPP,901187,2.822362142073904,-0.33962165037547987,0.0
E59,1,1,PPP,901187,2.821987490424798,-0.33834482488728357,0.0
E59,1,7,PPP,901187,2.825151240424152,-0.33820428483459786,0.0
E59,1,123,PPP,901187,2.8209122581910973,-0.3396361236261578,0.0
E59,1,2024,PPP,901187,2.827178698647322,-0.33640016357774405,0.0
E59,1,31337,PPP,901187,2.8211328385035945,-0.3368751264120684,0.0
E59,3,42,PDD,864504,3.668409049479182,-0.05455897453375025,-0.23235370958448742
E59,3,1,PDD,864504,3.6601155365460722,-0.055696356161543115,-0.2360795048237483
E59,3,7,PDD,864504,3.6655179142260557,-0.053959137341340835,-0.22432931536753076
E59,3,123,PDD,864504,3.6636404849791617,-0.05568160779082865,-0.23410675366942701
E59,3,2024,PDD,864504,3.666816391471775,-0.05560376536431244,-0.23506845231880646
E59,3,31337,PDD,864504,3.6642750574532537,-0.05390444123329541,-0.23312640478205227
E59,5,42,DDD,853239,3.9275706111798687,0.0,-0.46414598690566145
E59,5,1,DDD,853239,3.9317316516495078,0.0,-0.4614398435326965
E59,5,7,DDD,853239,3.9341542118082713,0.0,-0.46531754626494726
E59,5,123,DDD,853239,3.9304024591751983,0.0,-0.4675389347344625
E59,5,2024,DDD,853239,3.924563649163369,0.0,-0.4691624705368844
E59,5,31337,DDD,853239,3.9371437857551794,0.0,-0.4647593864089683
E59,10,42,DDD,831412,4.190688965088085,0.0,-1.0912468552838233
E59,10,1,DDD,831412,4.185817249632163,0.0,-1.0975054025930273
E59,10,7,DDD,831412,4.189195429517539,0.0,-1.0898294125807704
E59,10,123,DDD,831412,4.192898048535398,0.0,-1.0917905588488424
E59,10,2024,DDD,831412,4.196996488781958,0.0,-1.0919634812367107
E59,10,31337,DDD,831412,4.192179054550298,0.0,-1.094014637998697
E4,1,42,PPP,227896,2.8576569781790027,-0.514495655802877,0.0
E4,1,1,PPP,227896,2.8573565935381002,-0.5140648090096946,0.0
E4,1,7,PPP,227896,2.8445538201773832,-0.5145014506300796,0.0
E4,1,123,PPP,227896,2.8603171379608323,-0.5103309473982631,0.0
E4,1,2024,PPP,227896,2.849782315294697,-0.5209088811397748,0.0
E4,1,31337,PPP,227896,2.8433822392410417,-0.5173636055925592,0.0
E4,3,42,PPD,211677,4.279989251750556,-0.13929463763835415,-0.1803025592834322
E4,3,1,PPD,211677,4.257767006575138,-0.14434489768143965,-0.17462292546724267
E4,3,7,PPD,211677,4.270079851168474,-0.13247414648887457,-0.18235793680471257
E4,3,123,PPD,211677,4.268892565441036,-0.13417852363157312,-0.18194374011947811
E4,3,2024,PPD,211677,4.259615738782827,-0.1414499456028082,-0.18342732808844886
E4,3,31337,PPD,211677,4.262200566460565,-0.13954336534261813,-0.1835983438099209
E4,5,42,DDD,203607,4.844202144687991,0.0,-0.5366211852869176
E4,5,1,DDD,203607,4.825560790912161,0.0,-0.5406212673062694
E4,5,7,DDD,203607,4.8339997776233075,0.0,-0.5421545939137822
E4,5,123,DDD,203607,4.843257947576947,0.0,-0.5470371002843502
E4,5,2024,DDD,203607,4.83252371350129,0.0,-0.5385281947843197
E4,5,31337,DDD,203607,4.8426031423235845,0.0,-0.5438310452065007
E4,10,42,DDD,192553,5.370088552182364,0.0,-1.4023860694560604
E4,10,1,DDD,192553,5.363837043365909,0.0,-1.423435098389354
E4,10,7,DDD,192553,5.372332827329525,0.0,-1.391932688292913
E4,10,123,DDD,192553,5.3741204239908695,0.0,-1.4076890008965073
E4,10,2024,DDD,192553,5.373604700499303,0.0,-1.4233419835938772
E4,10,31337,DDD,192553,5.385266341528478,0.0,-1.4142957024718745
