corridor,horizon,split_kind,n_policy,n_eval,policy_low_mid_high,mae_persist,mae_dl,mae_router,mae_oracle,mae_trivial,router_vs_dl,router_vs_persist,router_vs_trivial,policy_frac,align_max_abs_diff,align_tolerance
E2,1,temporal_block,387950,258737,PPD,4.160006313663019,4.290991596403305,4.159684706668088,4.159684706668088,4.160006313663019,-0.13130688973521742,-0.0003216069949312228,-0.0003216069949312228,0.6,2.614763175756707e-6,0.01
E2,3,temporal_block,356280,237574,DDD,5.7777153312632095,4.929041873726959,4.929041873726959,4.929041873726959,4.929041873726959,0.0,-0.8486734575362505,0.0,0.6,2.614763175756707e-6,0.01
E2,5,temporal_block,347280,231601,DDD,6.248727590890322,5.101423512609694,5.101423512609694,5.101423512609694,5.101423512609694,0.0,-1.1473040782806283,0.0,0.6,2.614763175756707e-6,0.01
E2,10,temporal_block,336658,224466,DDD,6.8269592875631115,5.253926910228631,5.253926910228631,5.253926910228631,5.253926910228631,0.0,-1.5730323773344805,0.0,0.6,2.614763175756707e-6,0.01
E59,1,temporal_block,1351710,901257,PPP,2.8965039091109395,3.2059775069298158,2.8965039091109395,2.8965039091109395,2.8965039091109395,-0.3094735978188763,0.0,0.0,0.6,2.325037925743345e-6,0.01
E59,3,temporal_block,1296646,864613,PDD,3.9666374961708692,3.763391206817515,3.707160056764753,3.707160056764753,3.763391206817515,-0.056231150052762136,-0.25947743940611634,-0.056231150052762136,0.6,2.325037925743345e-6,0.01
E59,5,temporal_block,1279854,853243,DDD,4.456229399855447,3.9765307718788963,3.9765307718788963,3.9765307718788963,3.9765307718788963,0.0,-0.4796986279765507,0.0,0.6,2.325037925743345e-6,0.01
E59,10,temporal_block,1246927,831603,DDD,5.313951940047864,4.236239475968507,4.236239475968507,4.236239475968507,4.236239475968507,0.0,-1.0777124640793572,0.0,0.6,2.325037925743345e-6,0.01
E4,1,temporal_block,341787,227951,PPP,2.8343816398332016,3.383603033980767,2.8343816398332016,2.8343816398332016,2.8343816398332016,-0.5492213941475654,0.0,0.0,0.6,2.6451516177417034e-6,0.01
E4,3,temporal_block,317506,211685,PPD,4.417448429437584,4.4712215784961,4.3035809839089385,4.3035809839089385,4.4712215784961,-0.1676405945871613,-0.11386744552864592,-0.1676405945871613,0.6,2.6451516177417034e-6,0.01
E4,5,temporal_block,305374,203642,DDD,5.415717437300107,4.964064809115757,4.964064809115757,4.964064809115757,4.964064809115757,0.0,-0.45165262818435004,0.0,0.6,2.6610296472995287e-6,0.01
E4,10,temporal_block,288811,192571,DDD,6.892979644933291,5.502064608843731,5.502064608843731,5.502064608843731,5.502064608843731,0.0,-1.3909150360895604,0.0,0.6,2.6610296472995287e-6,0.01
