model,metric,corridor,horizon,n,delta_loss,delta_mae,dm_stat,dm_p,wilcoxon_p,dl_better
LSTM,MAE,E2,1,654303,0.0367298608514171,0.0367298608514171,4.973688810837351,6.569073059131219e-7,0.0,false
LSTM,MAE,E2,3,599117,-0.9050395498516643,-0.9050395498516643,-102.61104052428342,0.0,0.0,true
LSTM,MAE,E2,5,583733,-1.1909073274752286,-1.1909073274752286,-129.50515022500613,0.0,0.0,true
LSTM,MAE,E2,10,566186,-1.571228815508024,-1.571228815508024,-149.88662289094006,0.0,0.0,true
LSTM,MAE,E4,1,577255,0.5224253499183992,0.5224253499183992,82.47467979518568,0.0,0.0,false
LSTM,MAE,E4,3,535061,-0.04004858162804491,-0.04004858162804491,-4.081999091169639,0.00004464997147685638,1.8101967554311423e-165,true
LSTM,MAE,E4,5,514587,-0.5526050083062539,-0.5526050083062539,-47.088203280431415,0.0,0.0,true
LSTM,MAE,E4,10,487011,-1.4160235187942738,-1.4160235187942738,-94.7176456817089,0.0,0.0,true
LSTM,MAE,E59,1,2264126,0.34264942571384266,0.34264942571384266,81.28448408927441,0.0,0.0,false
LSTM,MAE,E59,3,2169833,-0.17721644283231516,-0.17721644283231516,-32.90191255694439,2.0636955104870837e-237,0.00017764718727602267,true
LSTM,MAE,E59,5,2142718,-0.46581929600285454,-0.46581929600285454,-79.37798963465887,0.0,0.0,true
LSTM,MAE,E59,10,2088148,-1.0939449345867973,-1.0939449345867973,-165.30722184495656,0.0,0.0,true
LSTM,RMSE,E2,1,654303,-15.643656817541022,0.0367298608514171,-109.37283414529323,0.0,7.312296575207118e-7,true
LSTM,RMSE,E2,3,599117,-27.390832427640525,-0.9050395498516643,-137.5311186018649,0.0,0.0,true
LSTM,RMSE,E2,5,583733,-30.532191436138184,-1.1909073274752286,-142.44614270805667,0.0,0.0,true
LSTM,RMSE,E2,10,566186,-35.776692801491365,-1.571228815508024,-143.03774584085667,0.0,0.0,true
LSTM,RMSE,E4,1,577255,-7.081458980771436,0.5224253499183992,-61.18347978982697,0.0,0.0,true
LSTM,RMSE,E4,3,535061,-15.244335045346764,-0.04004858162804491,-81.81641817647773,0.0,7.768083548240412e-47,true
LSTM,RMSE,E4,5,514587,-21.94262594939926,-0.5526050083062539,-92.55908785756627,0.0,0.0,true
LSTM,RMSE,E4,10,487011,-34.70420246783327,-1.4160235187942738,-109.70682443016095,0.0,0.0,true
LSTM,RMSE,E59,1,2264126,-8.45259161611197,0.34264942571384266,-124.2513277727604,0.0,0.0,true
LSTM,RMSE,E59,3,2169833,-14.738642423808948,-0.17721644283231516,-155.99927823506542,0.0,0.0,true
LSTM,RMSE,E59,5,2142718,-17.48137476336387,-0.46581929600285454,-162.78653766675623,0.0,0.0,true
LSTM,RMSE,E59,10,2088148,-24.630715781772995,-1.0939449345867973,-181.9145627025353,0.0,0.0,true
SpatialConvLSTM,MAE,E2,1,654303,0.03614983889218097,0.03614983889218097,4.941158835964296,7.765960920930327e-7,0.0,false
SpatialConvLSTM,MAE,E2,3,599117,-0.9022252737338559,-0.9022252737338559,-102.23996401593045,0.0,0.0,true
SpatialConvLSTM,MAE,E2,5,583733,-1.190497080975832,-1.190497080975832,-128.39416252872098,0.0,0.0,true
SpatialConvLSTM,MAE,E2,10,566186,-1.5690699744290155,-1.5690699744290155,-147.51523302509284,0.0,0.0,true
SpatialConvLSTM,MAE,E4,1,577255,0.5279003818319429,0.5279003818319429,88.56635230195704,0.0,0.0,false
SpatialConvLSTM,MAE,E4,3,535061,-0.020104682643301865,-0.020104682643301865,-2.0625230340900624,0.039157966887564226,1.009579297250501e-186,true
SpatialConvLSTM,MAE,E4,5,514587,-0.512418054144541,-0.512418054144541,-43.425102526041364,0.0,0.0,true
SpatialConvLSTM,MAE,E4,10,487011,-1.3950141993499143,-1.3950141993499143,-93.45339220396781,0.0,0.0,true
SpatialConvLSTM,MAE,E59,1,2264126,0.3327278525132066,0.3327278525132066,79.18614121731146,0.0,0.0,false
SpatialConvLSTM,MAE,E59,3,2169833,-0.1730102621272916,-0.1730102621272916,-31.86919656543599,7.136464031613224e-223,6.389360701478553e-12,true
SpatialConvLSTM,MAE,E59,5,2142718,-0.45575699314390034,-0.45575699314390034,-76.33766717910049,0.0,0.0,true
