corridor,direction,baseline,metric,value,horizon
E2,-1,SpatialConvLSTM,MAE,6.175650095435134,5
E2,-1,SpatialConvLSTM,RMSE,7.720623443623065,5
E2,+1,SpatialConvLSTM,MAE,4.25190314095114,5
E2,+1,SpatialConvLSTM,RMSE,5.9907441318223835,5
E2,aggregate,SpatialConvLSTM,MAE,5.073220003947954,5
E2,aggregate,SpatialConvLSTM,RMSE,6.7834736962709705,5
E59,-1,SpatialConvLSTM,MAE,4.069298917555387,5
E59,-1,SpatialConvLSTM,RMSE,5.426804303351476,5
E59,+1,SpatialConvLSTM,MAE,4.004778574512682,5
E59,+1,SpatialConvLSTM,RMSE,5.219011676293868,5
E59,aggregate,SpatialConvLSTM,MAE,4.042857710537457,5
E59,aggregate,SpatialConvLSTM,RMSE,5.342625843885597,5
