model,corridor,horizon,regime,regime_order,n,share,mean_change,mae_persist,mae_dl,delta_mae,dl_better
LSTM,E2,1,low,0,244773,0.37409732188298084,0.4601891286425551,0.4601891286425551,2.929744816554803,2.4695556879122478,false
LSTM,E2,1,moderate,1,164213,0.25097393715144206,1.5932490459167976,1.5932490459167976,2.8587871695291054,1.2655381236123078,false
LSTM,E2,1,high,2,245317,0.3749287409655771,9.776205932963745,9.776205932963745,6.56295162060289,-3.2132543123608546,true
LSTM,E2,3,low,0,121597,0.20296035665821535,0.463008411736669,0.463008411736669,3.4154198537423084,2.9524114420056393,false
LSTM,E2,3,moderate,1,138838,0.23173770732594803,1.997610039500396,1.997610039500396,3.4237633273867325,1.4261532878863366,false
LSTM,E2,3,high,2,338682,0.5653019360158367,9.208056145265529,9.208056145265529,5.962435698103876,-3.2456204471616523,true
LSTM,E2,5,low,0,97805,0.1675509179710587,0.4793243460979182,0.4793243460979182,3.631638330643202,3.152313984545284,false
LSTM,E2,5,moderate,1,128729,0.22052719308313903,1.912682064211365,1.912682064211365,3.3677366684848287,1.4550546042734636,false
LSTM,E2,5,high,2,357199,0.6119218889458022,9.336581768264868,9.336581768264868,6.002889063635045,-3.333692704629822,true
LSTM,E2,10,low,0,77777,0.13737005153783385,0.48444048540546547,0.48444048540546547,3.83459320086384,3.350152715458375,false
LSTM,E2,10,moderate,1,123580,0.21826749513410787,1.9471118755567458,1.9471118755567458,3.5192922186303592,1.5721803430736134,false
LSTM,E2,10,high,2,364829,0.6443624533280583,9.688243440556777,9.688243440556777,6.003057688644322,-3.6851857519124547,true
LSTM,E4,1,low,0,345168,0.5979471810551663,0.398758541441912,0.398758541441912,1.9028475602202615,1.5040890187783496,false
LSTM,E4,1,moderate,1,105137,0.1821326796649661,1.338825736455882,1.338825736455882,2.355902761211011,1.017077024755129,false
LSTM,E4,1,high,2,126950,0.21992013927986764,10.741027698633285,10.741027698633285,8.18472064689465,-2.556307051738635,true
LSTM,E4,3,low,0,193091,0.3608766103304109,0.40821538054792633,0.40821538054792633,2.702406986827631,2.2941916062797048,false
LSTM,E4,3,moderate,1,116697,0.21810036612647904,2.0411676064378685,2.0411676064378685,3.0335446007735105,0.992376994335642,false
LSTM,E4,3,high,2,225273,0.42102302354311005,9.133487730927158,9.133487730927158,6.5578412766666645,-2.575646454260493,true
LSTM,E4,5,low,0,141915,0.2757842697153251,0.44692222284211447,0.44692222284211447,3.138639299473811,2.6917170766316967,false
LSTM,E4,5,moderate,1,98324,0.19107361826085772,1.8016546890445715,1.8016546890445715,3.3241698940312094,1.522515204986638,false
LSTM,E4,5,high,2,274348,0.5331421120238171,9.222741489967488,9.222741489967488,6.248204889173665,-2.974536600793823,true
LSTM,E4,10,low,0,84462,0.17342934759173817,0.4759069439960106,0.4759069439960106,3.548157961741,3.0722510177449895,false
LSTM,E4,10,moderate,1,98217,0.20167306282609634,1.878723916679544,1.878723916679544,3.7939982600578013,1.9152743433782573,false
LSTM,E4,10,high,2,304332,0.6248975895821655,10.10445546763566,10.10445546763566,6.367681169974297,-3.7367742976613627,true
LSTM,E59,1,low,0,1327851,0.5864739859884123,0.32573579043444123,0.32573579043444123,2.1388006901994574,1.813064899765016,false
LSTM,E59,1,moderate,1,321365,0.14193777201445504,1.7685920664200736,1.7685920664200736,2.1105390432243625,0.34194697680428887,false
LSTM,E59,1,high,2,614910,0.27158824199713266,8.755013607609563,8.755013607609563,5.922780668195979,-2.8322329394135837,true
LSTM,E59,3,low,0,845493,0.389658098111698,0.42467221983552966,0.42467221983552966,2.838655257209725,2.4139830373741953,false
LSTM,E59,3,moderate,1,488409,0.2250905945296251,1.8482996766668067,1.8482996766668067,2.698794854978721,0.8504951783119143,false
LSTM,E59,3,high,2,835931,0.3852513073586769,8.609891855998397,8.609891855998397,5.2113752971401475,-3.3985165588582493,true
LSTM,E59,5,low,0,650762,0.30370865414860937,0.45967259920134956,0.45967259920134956,3.179449454318632,2.7197768551172823,false
LSTM,E59,5,moderate,1,537129,0.2506764772592567,1.8137055990719386,1.8137055990719386,2.97726533150909,1.1635597324371514,false
LSTM,E59,5,high,2,954827,0.4456148685921339,8.530935650940275,8.530935650940275,4.977382502980789,-3.5535531479594864,true
LSTM,E59,10,low,0,417516,0.1999455977258317,0.48755609827333357,0.48755609827333357,3.3387558728030786,2.851199774529745,false
LSTM,E59,10,moderate,1,535455,0.2564257897428726,1.8837267230279722,1.8837267230279722,3.2268573079163203,1.3431305848883481,false
LSTM,E59,10,high,2,1135177,0.5436286125312957,8.647436478322884,8.647436478322884,4.952923252930278,-3.6945132253926065,true
SpatialConvLSTM,E2,1,low,0,244773,0.37409732188298084,0.4601891286425551,0.4601891286425551,2.915441310330779,2.455252181688224,false
SpatialConvLSTM,E2,1,moderate,1,164213,0.25097393715144206,1.5932490459167976,1.5932490459167976,2.8629279149652094,1.2696788690484118,false
SpatialConvLSTM,E2,1,high,2,245317,0.3749287409655771,9.776205932963745,9.776205932963745,6.572904611185197,-3.2033013217785475,true
SpatialConvLSTM,E2,3,low,0,121597,0.20296035665821535,0.463008411736669,0.463008411736669,3.4202189455789425,2.9572105338422734,false
SpatialConvLSTM,E2,3,moderate,1,138838,0.23173770732594803,1.997610039500396,1.997610039500396,3.4373842205701313,1.4397741810697353,false
