corridor,horizon,baseline,metric,value,n
E2,1,B5_XGB_CONTIG,MAE,4.162527377601404,90469
E2,1,B5_XGB_CONTIG,RMSE,5.879622954505312,90469
E2,1,B1_PERSIST,MAE,4.128333600529083,90469
E2,1,B1_PERSIST,RMSE,7.026284838837782,90469
E2,3,B5_XGB_CONTIG,MAE,4.823116199022803,81695
E2,3,B5_XGB_CONTIG,RMSE,6.420211955110288,81695
E2,3,B1_PERSIST,MAE,5.688893575124255,81695
E2,3,B1_PERSIST,RMSE,8.295403657538717,81695
E2,5,B5_XGB_CONTIG,MAE,5.018392589623486,79150
E2,5,B5_XGB_CONTIG,RMSE,6.58324173012604,79150
E2,5,B1_PERSIST,MAE,6.173887414999624,79150
E2,5,B1_PERSIST,RMSE,8.65986015064419,79150
E2,10,B5_XGB_CONTIG,MAE,5.20786573153874,75747
E2,10,B5_XGB_CONTIG,RMSE,6.769204546368993,75747
E2,10,B1_PERSIST,MAE,6.793300818980744,75747
E2,10,B1_PERSIST,RMSE,9.191146238557364,75747
E59,1,B5_XGB_CONTIG,MAE,3.107586913335873,240907
E59,1,B5_XGB_CONTIG,RMSE,4.552095010845281,240907
E59,1,B1_PERSIST,MAE,2.800232917540231,240907
E59,1,B1_PERSIST,RMSE,5.361876783491551,240907
E59,3,B5_XGB_CONTIG,MAE,3.7904096063264228,229826
E59,3,B5_XGB_CONTIG,RMSE,5.1347203714437955,229826
E59,3,B1_PERSIST,MAE,3.88132695000743,229826
E59,3,B1_PERSIST,RMSE,6.308535987919732,229826
E59,5,B5_XGB_CONTIG,MAE,4.107398566202673,226539
E59,5,B5_XGB_CONTIG,RMSE,5.412263651025333,226539
E59,5,B1_PERSIST,MAE,4.380390261623427,226539
E59,5,B1_PERSIST,RMSE,6.698333284170733,226539
E59,10,B5_XGB_CONTIG,MAE,4.547428061941715,219755
E59,10,B5_XGB_CONTIG,RMSE,5.800848479227067,219755
E59,10,B1_PERSIST,MAE,5.334755010978463,219755
E59,10,B1_PERSIST,RMSE,7.508158321992539,219755
E4,1,B5_XGB_CONTIG,MAE,2.7693173468914276,99829
E4,1,B5_XGB_CONTIG,RMSE,4.754462372134878,99829
E4,1,B1_PERSIST,MAE,2.5935730804473516,99829
E4,1,B1_PERSIST,RMSE,5.476006770840198,99829
E4,3,B5_XGB_CONTIG,MAE,3.9312365517891195,92408
E4,3,B5_XGB_CONTIG,RMSE,5.704984692709862,92408
E4,3,B1_PERSIST,MAE,4.098626791229805,92408
E4,3,B1_PERSIST,RMSE,6.824570621762353,92408
E4,5,B5_XGB_CONTIG,MAE,4.586534803747114,88655
E4,5,B5_XGB_CONTIG,RMSE,6.198389543284315,88655
E4,5,B1_PERSIST,MAE,5.043448609682098,88655
E4,5,B1_PERSIST,RMSE,7.62631473590202,88655
E4,10,B5_XGB_CONTIG,MAE,5.440981361961692,83190
E4,10,B5_XGB_CONTIG,RMSE,6.809563692929618,83190
E4,10,B1_PERSIST,MAE,6.526447366131814,83190
E4,10,B1_PERSIST,RMSE,8.927535833438133,83190
