corridor,horizon,val_rmse,best_iteration,n_configs,search_seed,param_colsample_bytree,param_eta,param_lambda,param_max_depth,param_min_child_weight,param_subsample
E2,1,5.938891659096962,230,24,20240718,1.0,0.03,2.0,8,3,0.9
E2,3,6.465837670445367,213,24,20240718,1.0,0.03,2.0,8,3,0.9
E2,5,6.626544526796297,300,24,20240718,0.7,0.05,5.0,6,5,1.0
E2,10,6.803934717379108,169,24,20240718,1.0,0.03,2.0,8,3,0.9
E59,1,4.43643989346287,489,24,20240718,1.0,0.03,2.0,8,3,0.9
E59,3,5.06208737425206,412,24,20240718,1.0,0.03,2.0,8,3,0.9
E59,5,5.344007134564607,444,24,20240718,1.0,0.03,2.0,8,3,0.9
E59,10,5.755056508290752,391,24,20240718,1.0,0.03,2.0,8,3,0.9
E4,1,4.710024904258753,274,24,20240718,1.0,0.03,2.0,8,3,0.9
E4,3,5.642112537151648,195,24,20240718,0.8,0.05,10.0,8,5,0.6
E4,5,6.134562201424884,68,24,20240718,0.9,0.08,2.0,10,20,1.0
E4,10,6.763801863248412,154,24,20240718,0.8,0.05,10.0,8,5,0.6
