corridor,horizon,n_dl_rows,n_xgb_matched,coverage_pct,n_distinct_targets,align_max_abs_diff_target,align_max_abs_diff_persist,align_tol,mae_persist_matched,mae_dl_matched,mae_xgb_matched,delta_xgb_minus_dl_matched,dl_better_matched,mae_dl_distinct,mae_xgb_distinct,delta_xgb_minus_dl_distinct,dl_better_distinct
E2,1,654303,654303,100.0,108313,2.614763175756707e-6,2.60873371615844e-6,0.01,4.237400088367662,4.274129949219079,4.310022082196996,0.03589213297791716,true,4.4442281604223695,4.4376330613334956,-0.006595099088873901,false
E2,3,599117,599117,100.0,111109,2.614763175756707e-6,2.60873371615844e-6,0.01,5.7622258889280715,4.8571863390764065,4.862375787531127,0.005189448454720136,true,5.049856458222556,5.008757050186367,-0.041099408036188834,false
E2,5,583733,583733,100.0,114188,2.614763175756707e-6,2.614763175756707e-6,0.01,6.2153683930091566,5.024461065533928,5.0198843400103375,-0.0045767255235906745,false,5.211136565250778,5.154974693159517,-0.05616187209126178,false
E2,10,566186,566186,100.0,118584,2.614763175756707e-6,2.614763175756707e-6,0.01,6.734279158067441,5.1630503425594165,5.162685506429147,-0.00036483613026927486,false,5.325677391599807,5.267572979862162,-0.058104411737644135,false
E4,1,577255,577255,100.0,107071,2.6451516177417034e-6,2.6451516177417034e-6,0.01,2.844448772254341,3.36687412217274,3.0916231535351177,-0.27525096863762233,false,3.2114718342977278,3.014958396642645,-0.19651343765508278,false
E4,3,535061,535061,100.0,104364,2.643510004673999e-6,2.6451516177417034e-6,0.01,4.437903405075334,4.397854823447289,4.192108539291853,-0.2057462841554356,false,4.313149906608364,4.190483114655973,-0.1226667919523905,false
E4,5,514587,514587,100.0,103595,2.643510004673999e-6,2.6610296472995287e-6,0.01,5.384534675749402,4.831929667443148,4.781371842373762,-0.050557825069385665,false,4.801249195460481,4.8163695027086115,0.015120307248130516,true
E4,10,487011,487011,100.0,104084,2.643510004673999e-6,2.6610296472995287e-6,0.01,6.775674103058866,5.359650584264592,5.498756673767714,0.1391060895031222,true,5.321637281461314,5.4994956764442415,0.17785839498292777,true
E59,1,2264126,2264126,100.0,260203,2.325037925743345e-6,2.325037925743345e-6,0.01,2.8198243392569347,3.1624737649707773,3.1684973396025335,0.00602357463175629,true,3.2613413278027283,3.271238922654591,0.009897594851862479,true
E59,3,2169833,2169833,100.0,260681,2.325037925743345e-6,2.325037925743345e-6,0.01,3.8984839363320383,3.721267493499723,3.782600948066443,0.061333454566720125,true,3.887562651996416,3.9464887799138766,0.05892612791746066,true
E59,5,2142718,2142718,100.0,263630,2.325037925743345e-6,2.321166526542129e-6,0.01,4.39577164587488,3.929952349872025,4.059607262889157,0.1296549130171325,true,4.119974550967359,4.248438956054901,0.1284644050875423,true
E59,10,2088148,2088148,100.0,267106,2.325037925743345e-6,2.321166526542129e-6,0.01,5.28151470276952,4.1875697681827235,4.429560527666086,0.2419907594833628,true,4.363757736238217,4.601568825932044,0.23781108969382725,true
