corridor,horizon,metric,n_dl_rows,restricted_xgb,reported_xgb,abs_diff,restricted_dl,reported_dl,restricted_delta,reported_delta,restricted_dl_better,reported_dl_better,sign_flip
E2,1,MAE,654303,4.310022082196996,4.538039362589525,0.2280172803925291,4.274129949219079,4.463865647406177,0.03589213297791716,0.07417371518334814,true,true,false
E2,3,MAE,599117,4.862375787531127,5.015494029646721,0.15311824211559433,4.8571863390764065,4.916415326131247,0.005189448454720136,0.09907870351547388,true,true,false
E2,5,MAE,583733,5.0198843400103375,5.1355571874973025,0.11567284748696505,5.024461065533928,5.040062334336635,-0.0045767255235906745,0.09549485316066786,false,true,true
E2,10,MAE,566186,5.162685506429147,5.234092276581235,0.07140677015208752,5.1630503425594165,5.128151366538658,-0.00036483613026927486,0.10594091004257677,false,true,true
E4,1,MAE,577255,3.0916231535351177,3.304321885435611,0.21269873190049315,3.36687412217274,3.7743336719186207,-0.27525096863762233,-0.4700117864830098,false,false,false
E4,3,MAE,535061,4.192108539291853,4.432225165099698,0.2401166258078451,4.397854823447289,4.679166542903919,-0.2057462841554356,-0.24694137780422043,false,false,false
E4,5,MAE,514587,4.781371842373762,4.979158427297459,0.19778658492369683,4.831929667443148,5.013573983015411,-0.050557825069385665,-0.03441555571795263,false,false,false
E4,10,MAE,487011,5.498756673767714,5.527912395685927,0.029155721918213473,5.359650584264592,5.348444954721688,0.1391060895031222,0.17946744096423917,true,true,false
E59,1,MAE,2264126,3.1684973396025335,3.3819018789952575,0.21340453939272397,3.1624737649707773,3.333578889928732,0.00602357463175629,0.048322989066525324,true,true,false
E59,3,MAE,2169833,3.782600948066443,4.02491919587029,0.24231824780384725,3.721267493499723,3.84672010276469,0.061333454566720125,0.17819909310560034,true,true,false
E59,5,MAE,2142718,4.059607262889157,4.306504197200185,0.2468969343110281,3.929952349872025,4.029033232326954,0.1296549130171325,0.2774709648732312,true,true,false
E59,10,MAE,2088148,4.429560527666086,4.636859955230154,0.2072994275640676,4.1875697681827235,4.224465201445966,0.2419907594833628,0.4123947537841879,true,true,false
