corridor,direction,baseline,metric,value,horizon,seed
E2,-1,LSTM,MAE,6.241152370047269,10,42
E2,-1,LSTM,RMSE,7.853143339612519,10,42
E2,+1,LSTM,MAE,4.2989513016351415,10,42
E2,+1,LSTM,RMSE,6.144098430509059,10,42
E2,aggregate,LSTM,MAE,5.128151366538658,10,42
E2,aggregate,LSTM,RMSE,6.925541688551211,10,42
E2,-1,LSTM,MAE,6.215967293040039,10,123
E2,-1,LSTM,RMSE,7.769873109331075,10,123
E2,+1,LSTM,MAE,4.314756190268924,10,123
E2,+1,LSTM,RMSE,6.131712632568106,10,123
E2,aggregate,LSTM,MAE,5.126456068027704,10,123
E2,aggregate,LSTM,RMSE,6.878995443111702,10,123
E2,-1,LSTM,MAE,6.222177961562823,10,456
E2,-1,LSTM,RMSE,7.795063883397116,10,456
E2,+1,LSTM,MAE,4.314162673728863,10,456
E2,+1,LSTM,RMSE,6.13709167368698,10,456
E2,aggregate,LSTM,MAE,5.128767518840142,10,456
E2,aggregate,LSTM,RMSE,6.893895605272763,10,456
E2,-1,LSTM,MAE,6.2414386964688005,10,789
E2,-1,LSTM,RMSE,7.82957993001477,10,789
E2,+1,LSTM,MAE,4.295035441099,10,789
E2,+1,LSTM,RMSE,6.130356844661833,10,789
E2,aggregate,LSTM,MAE,5.1260295806504566,10,789
E2,aggregate,LSTM,RMSE,6.907148396624961,10,789
E2,-1,LSTM,MAE,6.264105944153734,10,999
E2,-1,LSTM,RMSE,7.854877282137916,10,999
E2,+1,LSTM,MAE,4.300165073648242,10,999
E2,+1,LSTM,RMSE,6.137188213484964,10,999
E2,aggregate,LSTM,MAE,5.138646693175526,10,999
E2,aggregate,LSTM,RMSE,6.922869524933046,10,999
E59,-1,LSTM,MAE,4.214616715519327,10,42
E59,-1,LSTM,RMSE,5.61622941924414,10,42
E59,+1,LSTM,MAE,4.238648190749092,10,42
E59,+1,LSTM,RMSE,5.485736050890271,10,42
E59,aggregate,LSTM,MAE,4.224465201445966,10,42
E59,aggregate,LSTM,RMSE,5.563121318708254,10,42
E59,-1,LSTM,MAE,4.214649129376331,10,123
E59,-1,LSTM,RMSE,5.610090727918401,10,123
E59,+1,LSTM,MAE,4.23739154700721,10,123
E59,+1,LSTM,RMSE,5.481575795084314,10,123
E59,aggregate,LSTM,MAE,4.2239693387198685,10,123
E59,aggregate,LSTM,RMSE,5.557782626891599,10,123
E59,-1,LSTM,MAE,4.221932961603699,10,456
E59,-1,LSTM,RMSE,5.631698929143311,10,456
E59,+1,LSTM,MAE,4.2471712494545795,10,456
E59,+1,LSTM,RMSE,5.491266645590953,10,456
E59,aggregate,LSTM,MAE,4.232276018795793,10,456
E59,aggregate,LSTM,RMSE,5.574575359366965,10,456
E59,-1,LSTM,MAE,4.2075906066761535,10,789
E59,-1,LSTM,RMSE,5.597265281558203,10,789
E59,+1,LSTM,MAE,4.236854698180979,10,789
E59,+1,LSTM,RMSE,5.476965037852455,10,789
E59,aggregate,LSTM,MAE,4.219583503099932,10,789
E59,aggregate,LSTM,RMSE,5.548279754576457,10,789
E59,-1,LSTM,MAE,4.2140577299357584,10,999
E59,-1,LSTM,RMSE,5.606408908150897,10,999
E59,+1,LSTM,MAE,4.228022742027167,10,999
E59,+1,LSTM,RMSE,5.462585600525889,10,999
E59,aggregate,LSTM,MAE,4.21978081700106,10,999
E59,aggregate,LSTM,RMSE,5.547918711036637,10,999
