corridor,direction,baseline,metric,value,horizon
E2,-1,LSTM,MAE,6.114451388900674,5
E2,-1,LSTM,RMSE,7.672360703248007,5
E2,+1,LSTM,MAE,4.239636207776289,5
E2,+1,LSTM,RMSE,5.9661959169789744,5
E2,aggregate,LSTM,MAE,5.040062334336635,5
E2,aggregate,LSTM,RMSE,6.747602148786223,5
E59,-1,LSTM,MAE,4.047699922584223,5
E59,-1,LSTM,RMSE,5.388301106141163,5
E59,+1,LSTM,MAE,4.002150517140887,5
E59,+1,LSTM,RMSE,5.200757006272446,5
E59,aggregate,LSTM,MAE,4.029033232326954,5
E59,aggregate,LSTM,RMSE,5.312244062265007,5
