corridor,direction,baseline,metric,value,horizon
E2,-1,SpatialConvLSTM,MAE,6.115283510692416,5
E2,-1,SpatialConvLSTM,RMSE,7.659285009054101,5
E2,+1,SpatialConvLSTM,MAE,4.234414267499145,5
E2,+1,SpatialConvLSTM,RMSE,5.9642360854215095,5
E2,aggregate,SpatialConvLSTM,MAE,5.03742509120753,5
E2,aggregate,SpatialConvLSTM,RMSE,6.740263118382236,5
E59,-1,SpatialConvLSTM,MAE,4.058923340969295,5
E59,-1,SpatialConvLSTM,RMSE,5.401385475541025,5
E59,+1,SpatialConvLSTM,MAE,4.0062923898074345,5
E59,+1,SpatialConvLSTM,RMSE,5.201826148160089,5
E59,aggregate,SpatialConvLSTM,MAE,4.03735454871566,5
E59,aggregate,SpatialConvLSTM,RMSE,5.3205089392665235,5
