corridor,direction,baseline,metric,value,horizon
E2,-1,SpatialTransformer,MAE,5.39359213853437,1
E2,-1,SpatialTransformer,RMSE,6.946638128556762,1
E2,+1,SpatialTransformer,MAE,3.8028627437386873,1
E2,+1,SpatialTransformer,RMSE,5.38690040864489,1
E2,aggregate,SpatialTransformer,MAE,4.481969941415719,1
E2,aggregate,SpatialTransformer,RMSE,6.101746295936378,1
E59,-1,SpatialTransformer,MAE,3.520543256054512,1
E59,-1,SpatialTransformer,RMSE,4.883987358950877,1
E59,+1,SpatialTransformer,MAE,3.1048643796479345,1
E59,+1,SpatialTransformer,RMSE,4.357627795153819,1
E59,aggregate,SpatialTransformer,MAE,3.3501943921017348,1
E59,aggregate,SpatialTransformer,RMSE,4.675452217265264,1
